*******************************************************************************
 Revised: Dec 12, 2013          Laomedeia / (Neptune)                      812
             http://ssd.jpl.nasa.gov/sat_props.html  (physical properties)
             http://ssd.jpl.nasa.gov/sat_elem.html   (mean elements)

 Irregular Neptunian satellite trajectory.
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Wed Nov  1 05:40:01 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Laomedeia (812)                 {source: nep086}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000,  4.295385449027966E+09, -1.362445094211600E+09, -8.641447128564662E+07,  1.702744698863420E+00,  5.537176067943332E+00, -2.902468818192294E-02,  1.503410798062083E+04,  4.507112185347733E+09, -5.050804244554079E-02,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000,  4.295532522274965E+09, -1.361966676161053E+09, -8.641696682023352E+07,  1.701728609111832E+00,  5.537315755075469E+00, -2.874235617836352E-02,  1.503409337052199E+04,  4.507107805350291E+09, -5.088077142426614E-02,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000,  4.295679507731242E+09, -1.361488246064289E+09, -8.641943797170901E+07,  1.700712506193683E+00,  5.537454915604191E+00, -2.846026427289883E-02,  1.503407865301653E+04,  4.507103393153155E+09, -5.125340581614232E-02,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000,  4.295826405395654E+09, -1.361009803966796E+09, -8.642188476080978E+07,  1.699696390009892E+00,  5.537593549778697E+00, -2.817841229436380E-02,  1.503406382813167E+04,  4.507098948764482E+09, -5.162594596146404E-02,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000,  4.295973215267051E+09, -1.360531349914039E+09, -8.642430720825845E+07,  1.698680260461069E+00,  5.537731657846342E+00, -2.789680007232609E-02,  1.503404889589450E+04,  4.507094472192398E+09, -5.199839220015341E-02,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000,  4.296119937344274E+09, -1.360052883951464E+09, -8.642670533476245E+07,  1.697664117447512E+00,  5.537869240052644E+00, -2.761542743708545E-02,  1.503403385633205E+04,  4.507089963445003E+09, -5.237074487176657E-02,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000,  4.296266571626155E+09, -1.359574406124496E+09, -8.642907916101491E+07,  1.696647960869205E+00,  5.538006296641269E+00, -2.733429421967015E-02,  1.503401870947123E+04,  4.507085422530369E+09, -5.274300431549048E-02,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000,  4.296413118111518E+09, -1.359095916478536E+09, -8.643142870769387E+07,  1.695631790625822E+00,  5.538142827854047E+00, -2.705340025184455E-02,  1.503400345533887E+04,  4.507080849456532E+09, -5.311517087014805E-02,
