*******************************************************************************
 Revised: Apr 28, 2015            Larissa  / (Neptune)                      807

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)             =  104 x 89 (+-7) Density (g cm^-3)   =              
  Mass (10^20 kg )        =                 Geometric Albedo    =  0.06 
                                            V(1,0)              = +7.3 

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 73.548(10^3)    Orbital period      = 0.554654 d
  Eccentricity, e         = 0.0             Rotational period   = 
  Inclination, i  (deg)   = 0.20
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Wed Nov  1 05:34:07 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Larissa (807)                   {source: nep088}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000,  4.267007075933284E+09, -1.364318664662801E+09, -7.027618988906747E+07,  6.843406980571888E+00,  1.326945045940628E+01,  6.265348931235257E-01,  1.494488265093577E+04,  4.480363104445591E+09,  2.467004645653950E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000,  4.267071573838220E+09, -1.363904629061481E+09, -7.027080789372522E+07,  1.025284545463786E+01,  3.766165036797358E+00, -4.208923018724059E+00,  1.494466677801012E+04,  4.480298387370595E+09,  8.684399234102623E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000,  4.267162257376152E+09, -1.363397617788971E+09, -7.024254068722337E+07,  2.006625838867123E+00, -3.810085904030903E+00, -3.565491139771234E+00,  1.494443864613640E+04,  4.480229995155424E+09,  3.126560301819056E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000,  4.267345454100413E+09, -1.362874390258583E+09, -7.024638020979124E+07, -6.752510922780871E+00,  7.918915289887165E-01,  1.691577288522973E+00,  1.494448985916945E+04,  4.480245348436483E+09, -6.699046664185852E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000,  4.267562469681745E+09, -1.362433412266928E+09, -7.029388209816134E+07, -4.229328273993919E+00,  1.131927833041282E+01,  4.462570202358831E+00,  1.494473446358585E+04,  4.480318678995713E+09, -7.540619187694944E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000,  4.267709376511277E+09, -1.362062184536336E+09, -7.033790077590966E+07,  6.147262227720372E+00,  1.363128501649601E+01,  1.041743248176624E+00,  1.494482703260192E+04,  4.480346430488576E+09,  1.695136053900507E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000,  4.267776392391098E+09, -1.361654582401376E+09, -7.033602846361542E+07,  1.044871618468277E+01,  4.603211996276084E+00, -3.986993192487032E+00,  1.494462659444226E+04,  4.480286340640013E+09,  8.616687837957654E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000,  4.267861269346437E+09, -1.361153090116248E+09, -7.030753344230175E+07,  2.829471339804391E+00, -3.627560883082367E+00, -3.838009546354769E+00,  1.494438648796857E+04,  4.480214358530085E+09,  3.857694398281428E+00,
