*******************************************************************************
 Revised: Sep 13, 2016             Leda  / (Jupiter)                        513

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)             =  5              Density (g cm^-3)   =              
  Mass (10^20 kg )        =                 Geometric Albedo    =  
                                            V(1,0)              = +13.5 

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 11094 (10^3)    Orbital period      = 238.72 d 
  Eccentricity, e         =   0.148         Rotational period   = 
  Inclination, i  (deg)   =   27            Local invar ref. pln= Sun
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Aug  5 12:31:14 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Leda (513)                      {source: jup340_merged}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000, -7.465063617113764E+08, -3.502459187836619E+08,  1.985659832992809E+07,  7.083242194071012E+00, -1.397210998762376E+01,  1.602718833942411E+00,  2.751324002440392E+03,  8.248261854460030E+08, -4.391062283474270E-01,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000, -7.458901680084666E+08, -3.514502270316691E+08,  1.999420489277619E+07,  7.180071205433205E+00, -1.390512777647244E+01,  1.582420306313411E+00,  2.751184351359047E+03,  8.247843191050643E+08, -5.297687623728176E-01,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000, -7.452657200384771E+08, -3.526486801275938E+08,  2.013000713717252E+07,  7.274309183484131E+00, -1.383659202652285E+01,  1.560961183049838E+00,  2.751018793052297E+03,  8.247346859733415E+08, -6.188841147580771E-01,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000, -7.446332425771595E+08, -3.538411484357857E+08,  2.026390707751881E+07,  7.365936392778419E+00, -1.376660838227158E+01,  1.538394146048680E+00,  2.750827780696027E+03,  8.246774219095470E+08, -7.064031210530425E-01,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000, -7.439929618154156E+08, -3.550275113396748E+08,  2.039581123455454E+07,  7.454939240325072E+00, -1.369528035448460E+01,  1.514771169889525E+00,  2.750611780714345E+03,  8.246126667441101E+08, -7.922823207974464E-01,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000, -7.433451049264200E+08, -3.562076570890504E+08,  2.052563061860086E+07,  7.541308574992572E+00, -1.362270943723053E+01,  1.490144094124852E+00,  2.750371271479786E+03,  8.245405638895106E+08, -8.764823545684634E-01,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000, -7.426898996662402E+08, -3.573814825712113E+08,  2.065328068411605E+07,  7.625040138241877E+00, -1.354899400562820E+01,  1.464563862341632E+00,  2.750106742002849E+03,  8.244612599474057E+08, -9.589688685478515E-01,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000, -7.420275739449090E+08, -3.585488930427771E+08,  2.077868124238899E+07,  7.706134532419689E+00, -1.347422951891546E+01,  1.438080426105449E+00,  2.749818690470413E+03,  8.243749042704664E+08, -1.039712409679139E+00,
