*******************************************************************************
 Revised: Sep 13, 2016            Lysithea / (Jupiter)                      510

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)             = 12              Density (g cm^-3)   =              
  Mass (10^20 kg )        =                 Geometric Albedo    =  
                                            V(1,0)              = +11.7 

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 11720 (10^3)    Orbital period      = 259.22 d 
  Eccentricity, e         =   0.107         Rotational period   = 
  Inclination, i  (deg)   =   29            Local invar ref. pln= Sun
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Aug  5 12:10:04 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Lysithea (510)                  {source: jup340_merged}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000, -7.380359504318663E+08, -3.561892367364827E+08,  1.213829097809863E+07,  8.248362917425140E+00, -1.121919321668343E+01,  2.641560965560292E-01,  2.733832340645519E+03,  8.195823171620135E+08, -2.547915016378762E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000, -7.373226966056176E+08, -3.571558002317954E+08,  1.216230777715300E+07,  8.261941819177419E+00, -1.115494050344581E+01,  2.917731478837018E-01,  2.733095119698281E+03,  8.193613038821518E+08, -2.567996407046978E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000, -7.366083215818771E+08, -3.581168069798434E+08,  1.218870664909847E+07,  8.274315934930032E+00, -1.109056715211995E+01,  3.192954120102427E-01,  2.732352229832994E+03,  8.191385911034142E+08, -2.587254100662074E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000, -7.358929296338253E+08, -3.590722471761028E+08,  1.221747907025921E+07,  8.285480956656304E+00, -1.102608755765091E+01,  3.467151123935364E-01,  2.731603909518079E+03,  8.189142503168341E+08, -2.605680426587179E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000, -7.351766254277565E+08, -3.600221122650996E+08,  1.224861584443590E+07,  8.295432263613533E+00, -1.096151613450760E+01,  3.740245316968296E-01,  2.730850399514611E+03,  8.186883537007672E+08, -2.623267343600634E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000, -7.344595140229858E+08, -3.609663949353696E+08,  1.228210711125192E+07,  8.304165359370892E+00, -1.089686733606524E+01,  4.012159531465622E-01,  2.730091942892006E+03,  8.184609741255901E+08, -2.640006826005069E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000, -7.337417008711513E+08, -3.619050891373901E+08,  1.231794233469671E+07,  8.311675618166403E+00, -1.083215592547619E+01,  4.282814544265858E-01,  2.729328785074470E+03,  8.182321851676291E+08, -2.655890519265353E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000, -7.330232918324972E+08, -3.628381901062557E+08,  1.235611028962342E+07,  8.317958226283757E+00, -1.076739684199006E+01,  4.552130340097835E-01,  2.728561173945373E+03,  8.180020611404492E+08, -2.670909743861399E+00,
