*******************************************************************************
 Revised: Apr 06, 2006               Mab / (Uranus)                         726

 Irregular Uranian satellite.
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sun Nov 12 09:47:48 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Mab (726)                       {source: ura074x}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000,  2.697530600786552E+09,  1.268164356821298E+09, -3.016143992035735E+07,  2.728133402102608E+00,  3.929313101279134E+00, -4.800885066887467E+00,  9.943244050410722E+03,  2.980909574366506E+09,  4.189003205907726E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000,  2.697303491906129E+09,  1.268657625780000E+09, -3.019725940424234E+07, -5.292223109807974E-01,  4.312005865124860E+00, -7.108750257739697E+00,  9.943259874653249E+03,  2.980914318355070E+09,  1.428303619849766E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000,  2.697051832632637E+09,  1.269154878385372E+09, -3.024219550611907E+07, -4.445093146327033E+00,  5.110181783436033E+00, -7.478052968001419E+00,  9.943207902736794E+03,  2.980898737566488E+09, -1.770231799650016E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000,  2.696774790167448E+09,  1.269658202081443E+09, -3.028268131299895E+07, -7.953036545883917E+00,  6.106293972004028E+00, -5.808011864862952E+00,  9.943088155127793E+03,  2.980862838136446E+09, -4.535183535123863E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000,  2.696478382919202E+09,  1.270168019190968E+09, -3.030640629163682E+07, -1.010260438147800E+01,  7.029194568264903E+00, -2.558586139263377E+00,  9.942919005638480E+03,  2.980812128395276E+09, -6.117679963717745E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000,  2.696173821268900E+09,  1.270682983907676E+09, -3.030561404407442E+07, -1.032142099667738E+01,  7.629922318732646E+00,  1.383673524849422E+00,  9.942732127698506E+03,  2.980756103798305E+09, -6.097468250835014E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000,  2.695874421756788E+09,  1.271200354319882E+09, -3.027922558256322E+07, -8.565257981249477E+00,  7.749633975666944E+00,  4.956905393704732E+00,  9.942563775018265E+03,  2.980705632934485E+09, -4.492095281179060E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000,  2.695591989315057E+09,  1.271716757679794E+09, -3.023298769172060E+07, -5.314372096521907E+00,  7.359290949099655E+00,  7.211995008325406E+00,  9.942444955101293E+03,  2.980670011619516E+09, -1.739369122754775E+00,
