*******************************************************************************
 Revised: Jan 08, 2014            Margaret  / (Uranus)                      723

           http://ssd.jpl.nasa.gov/sat_props.html  (physical properties)
           http://ssd.jpl.nasa.gov/sat_elem.html   (mean elements)

*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sun Nov 12 09:44:04 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Margaret (723)                  {source: ura112}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000,  2.703348974291703E+09,  1.257624819650308E+09, -4.532067912949085E+07, -2.810863110276598E+00,  6.152972013830098E+00,  3.497670242694504E-01,  9.946571367699729E+03,  2.981907078995123E+09,  4.142809645513184E-02,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000,  2.703106047476706E+09,  1.258156444549560E+09, -4.529041312702358E+07, -2.812443234338925E+00,  6.153160145742757E+00,  3.508354202698820E-01,  9.946583301553012E+03,  2.981910656674332E+09,  4.138832777749653E-02,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000,  2.702862984024111E+09,  1.258688085763804E+09, -4.526005467598867E+07, -2.814026021536869E+00,  6.153349677375559E+00,  3.519070412624070E-01,  9.946595223750497E+03,  2.981914230859221E+09,  4.134720695658525E-02,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000,  2.702619783702812E+09,  1.259219743414416E+09, -4.522960349674445E+07, -2.815611495292027E+00,  6.153540618934281E+00,  3.529819104923071E-01,  9.946607133900354E+03,  2.981917801432322E+09,  4.130471904861790E-02,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000,  2.702376446279665E+09,  1.259751417623659E+09, -4.519905930763167E+07, -2.817199679429145E+00,  6.153732980732909E+00,  3.540600513848160E-01,  9.946619031606400E+03,  2.981921368274862E+09,  4.126084880969682E-02,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000,  2.702132971519461E+09,  1.260283108514676E+09, -4.516842182496995E+07, -2.818790597878591E+00,  6.153926772845820E+00,  3.551414873704184E-01,  9.946630916468024E+03,  2.981924931266742E+09,  4.121558082138582E-02,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000,  2.701889359184902E+09,  1.260814816211503E+09, -4.513769076302552E+07, -2.820384275015426E+00,  6.154122005808492E+00,  3.562262424252971E-01,  9.946642788080158E+03,  2.981928490286524E+09,  4.116889947147356E-02,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000,  2.701645609036582E+09,  1.261346540839072E+09, -4.510686583400095E+07, -2.821980735374741E+00,  6.154318689895155E+00,  3.573143404735535E-01,  9.946654646033188E+03,  2.981932045211410E+09,  4.112078891606985E-02,
