            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000, -1.075766221223729E+08,  2.182210575086841E+08,  7.213058494728833E+06, -2.081503316750627E+01, -8.651107984019324E+00,  3.295484332173042E-01,  8.119061614785074E+02,  2.434033438149866E+08,  1.453283554828579E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000, -1.093713269831253E+08,  2.174661182121164E+08,  7.241283507561341E+06, -2.072884532804171E+01, -8.824194268038019E+00,  3.238060976620583E-01,  8.123229911444806E+02,  2.435283062051161E+08,  1.439351440302216E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000, -1.111585294733861E+08,  2.166962617829710E+08,  7.269011800109848E+06, -2.064136867458842E+01, -8.996410862725375E+00,  3.180503517868414E-01,  8.127357944066335E+02,  2.436520615097473E+08,  1.425341917393297E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000, -1.129381186190337E+08,  2.159115636597412E+08,  7.296242230077028E+06, -2.055261194411284E+01, -9.167750915832004E+00,  3.122815518691606E-01,  8.131445491076912E+02,  2.437746030862964E+08,  1.411256003233063E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000, -1.147099842005022E+08,  2.151120998685290E+08,  7.322973685949996E+06, -2.046258387741161E+01, -9.338207646361873E+00,  3.065000616964428E-01,  8.135492333802930E+02,  2.438959243790937E+08,  1.397094724793331E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000, -1.164740167515668E+08,  2.142979470162705E+08,  7.349205086855859E+06, -2.037129320565257E+01, -9.507774360867995E+00,  3.007062450409395E-01,  8.139498256454642E+02,  2.440160189189251E+08,  1.382859097607562E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000, -1.182301075581529E+08,  2.134691822841561E+08,  7.374935382450536E+06, -2.027874863400421E+01, -9.676444461667526E+00,  2.949004571328127E-01,  8.143463046114712E+02,  2.441348803226897E+08,  1.368550109950848E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000, -1.199781486569810E+08,  2.126258834213157E+08,  7.400163552757189E+06, -2.018495883977589E+01, -9.844211435476947E+00,  2.890830445395793E-01,  8.147386492729495E+02,  2.442525022931375E+08,  1.354168730980428E+00,
2457952.500000000, A.D. 2017-Jul-18 00:00:00.0000, -1.217180328340364E+08,  2.117681287385966E+08,  7.424888607933640E+06, -2.008993247859348E+01, -1.001106883361137E+01,  2.832543497128817E-01,  8.151268389097480E+02,  2.443688786185234E+08,  1.339715930035640E+00,
2457953.500000000, A.D. 2017-Jul-19 00:00:00.0000, -1.234496536230554E+08,  2.108959971023062E+08,  7.449109588045254E+06, -1.999367818636446E+01, -1.017701025901398E+01,  2.774147130952667E-01,  8.155108530854252E+02,  2.444840031721565E+08,  1.325192687692623E+00,
