 Automated mail xmit by MAIL_REQUEST, PID= 432 Mon Jul 31 11:18:13 2017
++++++++++++++++++++++++++++++++ (part 1 of 1)  +++++++++++++++++++++++++++++++

*******************************************************************************
 Revised: Sep 28, 2012                 Mars                             499 / 4
 
 GEOPHYSICAL DATA (updated 2009-May-26):
  Mean radius (km)      = 3389.9(2+-4)    Density (g cm^-3)     =  3.933(5+-4)
  Mass (10^23 kg )      =    6.4185       Flattening, f         =  1/154.409
  Volume (x10^10 km^3)  =   16.318        Semi-major axis       =  3397+-4
  Sidereal rot. period  =   24.622962 hr  Rot. Rate (x10^5 s)   =  7.088218
  Mean solar day        =    1.0274907 d  Polar gravity ms^-2   =  3.758
  Mom. of Inertia       =    0.366        Equ. gravity  ms^-2   =  3.71
  Core radius (km)      =  ~1700          Potential Love # k2   =  0.153 +-.017
 
  Grav spectral fact u  =   14 (x10^5)    Topo. spectral fact t = 96 (x10^5)
  Fig. offset (Rcf-Rcm) = 2.50+-0.07 km   Offset (lat./long.)   = 62d / 88d
  GM (km^3 s^-2)        = 42828.3         Equatorial Radius, Re = 3394.0 km 
  GM 1-sigma (km^3 s^-2)= +- 0.1          Mass ratio (Sun/Mars) = 3098708+-9
  
  Atmos. pressure (bar) =    0.0056       Max. angular diam.    =  17.9"
  Mean Temperature (K)  =  210            Visual mag. V(1,0)    =  -1.52
  Geometric albedo      =    0.150        Obliquity to orbit    =  25.19 deg
  Mean sidereal orb per =    1.88081578 y Orbit vel.  km/s      =  24.1309
  Mean sidereal orb per =  686.98 d       Escape vel. km/s      =   5.027
  Hill's sphere rad. Rp =  319.8          Mag. mom (gauss Rp^3) = < 1x10^-4 
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / MAIL_REQUEST Mon Jul 31 11:18:13 2017 Pasadena, USA  / Horizons    
*******************************************************************************
Target body name: Mars (499)                      {source: mar097}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000, -1.071723167925621E+08,  2.189934786783056E+08,  7.191945825352207E+06, -2.082280059346438E+01, -8.640770784320472E+00,  3.297223594880023E-01,  8.136213828892104E+02,  2.439175542577155E+08,  1.400992542655169E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000, -1.089676933071527E+08,  2.182394320817157E+08,  7.220185878325045E+06, -2.073662543498139E+01, -8.813867113168429E+00,  3.239803221109776E-01,  8.140231024913290E+02,  2.440379867646614E+08,  1.386784451207959E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000, -1.107555685443993E+08,  2.174704674855643E+08,  7.247929236604765E+06, -2.064916140505052E+01, -8.986093731501342E+00,  3.182248704833257E-01,  8.144207165035126E+02,  2.441571884467092E+08,  1.372501379939812E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000, -1.125358315252624E+08,  2.166866603303249E+08,  7.275174757566050E+06, -2.056041724176945E+01, -9.157443783649589E+00,  3.124563611521722E-01,  8.148142034666512E+02,  2.442751528705795E+08,  1.358144333961019E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000, -1.143083720253683E+08,  2.158880866443629E+08,  7.301921329391494E+06, -2.047040168733591E+01, -9.327910485472886E+00,  3.066751581794875E-01,  8.152035422080763E+02,  2.443918736888659E+08,  1.343714328173081E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000, -1.160730805738150E+08,  2.150748230371380E+08,  7.328167870927528E+06, -2.037912347453626E+01, -9.497487140652238E+00,  3.008816256125506E-01,  8.155887118400268E+02,  2.445073446395753E+08,  1.329212365997209E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000, -1.178298484519983E+08,  2.142469466926005E+08,  7.353913331573024E+06, -2.028659131032992E+01, -9.666167148896893E+00,  2.950761189536375E-01,  8.159696917585007E+02,  2.446215595457833E+08,  1.314639423583323E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000, -1.195785676922699E+08,  2.134045353628549E+08,  7.379156691117421E+06, -2.019281387395135E+01, -9.833943994568315E+00,  2.892589850369331E-01,  8.163464616423797E+02,  2.447345123153717E+08,  1.299996457971687E+00,
2457952.500000000, A.D. 2017-Jul-18 00:00:00.0000, -1.213191310764174E+08,  2.125476673619160E+08,  7.403896959507480E+06, -2.009779982305395E+01, -1.000081122686592E+01,  2.834305665735641E-01,  8.167190014522740E+02,  2.448461969406828E+08,  1.285284426409913E+00,
