*******************************************************************************
 Revised: Sep 29, 2017            Megaclite / (Jupiter)                     519

 Recently discovered Jovian irregular satellite.
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sun Nov 12 11:08:04 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Megaclite (519)                 {source: jup341}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000, -7.337019746150899E+08, -3.261400025209862E+08,  5.685650847891971E+06,  7.428393380698834E+00, -1.237842315946423E+01,  4.656233218490691E-01,  2.678331119429301E+03,  8.029434696316018E+08, -1.756637438268690E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000, -7.330596550925717E+08, -3.272099494535397E+08,  5.726388339681983E+06,  7.440077332817102E+00, -1.238887383695089E+01,  4.773850959550758E-01,  2.677827128451900E+03,  8.027923769376768E+08, -1.740828748730711E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000, -7.324163356567554E+08, -3.282808010965145E+08,  5.768144874835297E+06,  7.451538900515679E+00, -1.239936536797204E+01,  4.892122329380735E-01,  2.677327736786673E+03,  8.026426630828538E+08, -1.724719401385959E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000, -7.317720356821085E+08, -3.293525609382240E+08,  5.810926087315872E+06,  7.462774369882929E+00, -1.240989679639950E+01,  5.011044314162687E-01,  2.676833031482986E+03,  8.024943541638757E+08, -1.708306623823702E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000, -7.311267748658675E+08, -3.304252323834011E+08,  5.854737585678473E+06,  7.473779967811637E+00, -1.242046712703763E+01,  5.130613878621446E-01,  2.676343100389945E+03,  8.023474765172423E+08, -1.691587631410718E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000, -7.304805732346457E+08, -3.314988187472248E+08,  5.899584949825898E+06,  7.484551850263555E+00, -1.243107528396293E+01,  5.250827420453223E-01,  2.675858032160706E+03,  8.022020567205012E+08, -1.674559635065946E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000, -7.298334511489687E+08, -3.325733232492398E+08,  5.945473726737365E+06,  7.495086132642880E+00, -1.244172013242419E+01,  5.371680966667052E-01,  2.675377916249996E+03,  8.020581215915046E+08, -1.657219860856465E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000, -7.291854293072323E+08, -3.336487490085356E+08,  5.992409427985877E+06,  7.505378874116483E+00, -1.245240047922790E+01,  5.493170280810817E-01,  2.674902842911370E+03,  8.019156981875876E+08, -1.639565536404791E+00,
