            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000, -5.861565950665974E+07, -4.937515831229573E+06,  4.973956337924088E+06, -6.044492647318913E+00, -4.644808643346164E+01, -3.240864296004965E+00,  1.969134504322536E+02,  5.903316731834646E+07,  9.613581538584482E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000, -5.899836115946921E+07, -8.935756910532646E+06,  4.682359351266596E+06, -2.833050012249515E+00, -4.607002401981452E+01, -3.504590530522769E+00,  1.996536142817208E+02,  5.985464777410097E+07,  9.396197488098775E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000, -5.910852788210610E+07, -1.289284403447037E+07,  4.369122724771104E+06,  2.632710572524504E-01, -4.549844614259980E+01, -3.741942859098067E+00,  2.023261534559869E+02,  6.065585486225551E+07,  9.144934136668507E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000, -5.895631751437762E+07, -1.679281486420491E+07,  4.036482663263763E+06,  3.239866275638282E+00, -4.475065816821387E+01, -3.953912945754414E+00,  2.049218434048200E+02,  6.143402313222210E+07,  8.863476686036677E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000, -5.855221604851678E+07, -2.062114340003541E+07,  3.686588109698866E+06,  6.093688389869672E+00, -4.384260449722878E+01, -4.141524089260148E+00,  2.074324719254872E+02,  6.218669062755778E+07,  8.555167937062492E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000, -5.790691676862094E+07, -2.436462321091016E+07,  3.321499198979396E+06,  8.822938754806799E+00, -4.278889298782639E+01, -4.305804923878146E+00,  2.098507430374723E+02,  6.291167006833021E+07,  8.223026776488442E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000, -5.703122403864353E+07, -2.801125403632392E+07,  2.943187697476025E+06,  1.142680447476388E+01, -4.160284676519527E+01, -4.447769538140161E+00,  2.121701867389193E+02,  6.360702179677963E+07,  7.869770170053604E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000, -5.593597799684680E+07, -3.155013369150678E+07,  2.553538927165046E+06,  1.390523650977158E+01, -4.029657378244652E+01, -4.568402802253107E+00,  2.143850753917459E+02,  6.427102871020681E+07,  7.497836925508369E+00,
2457952.500000000, A.D. 2017-Jul-18 00:00:00.0000, -5.463199682860851E+07, -3.497135648144073E+07,  2.154354770556685E+06,  1.625876384292515E+01, -3.888104689493247E+01, -4.668649862833702E+00,  2.164903470562043E+02,  6.490217327725256E+07,  7.109411984639695E+00,
2457953.500000000, A.D. 2017-Jul-19 00:00:00.0000, -5.313003371210717E+07, -3.826591879039761E+07,  1.747357435387453E+06,  1.848833887752581E+01, -3.736618913936501E+01, -4.749408927968718E+00,  2.184815357959750E+02,  6.549911664389034E+07,  6.706450388545250E+00,
2457954.500000000, A.D. 2017-Jul-20 00:00:00.0000, -5.144074593724088E+07, -4.142563212338790E+07,  1.334193727174291E+06,  2.059520952830266E+01, -3.576096042846415E+01, -4.811526616862919E+00,  2.203547087724339E+02,  6.606067977476210E+07,  6.290700353152309E+00,
2457955.500000000, A.D. 2017-Jul-21 00:00:00.0000, -4.957467407270120E+07, -4.444304360147520E+07,  9.164396345153116E+05,  2.258081388490127E+01, -3.407344304554019E+01, -4.855795282211924E+00,  2.221064098174893E+02,  6.658582653674044E+07,  5.863725109965721E+00,
2457956.500000000, A.D. 2017-Jul-22 00:00:00.0000, -4.754222939243791E+07, -4.731136372724192E+07,  4.956050780474469E+05,  2.444669378808636E+01, -3.231092421462068E+01, -4.882951828667647E+00,  2.237336090991069E+02,  6.707364860903242E+07,  5.426923326043897E+00,
2457957.500000000, A.D. 2017-Jul-23 00:00:00.0000, -4.535368806871366E+07, -5.002440111790308E+07,  7.313871082917601E+04,  2.619442412519333E+01, -3.047997468755113E+01, -4.893677647928500E+00,  2.252336584573379E+02,  6.752335209325781E+07,  4.981548030687713E+00,
2457958.500000000, A.D. 2017-Jul-24 00:00:00.0000, -4.301919089548296E+07, -5.257650383436254E+07, -3.495673128938563E+05,  2.782555509465769E+01, -2.858652277897974E+01, -4.888599371651749E+00,  2.266042519798684E+02,  6.793424569429609E+07,  4.528724055329534E+00,
2457959.500000000, A.D. 2017-Jul-25 00:00:00.0000, -4.054874752560281E+07, -5.496250690147144E+07, -7.711726607214101E+05,  2.934156509556319E+01, -2.663592363399790E+01, -4.868290209556294E+00,  2.278433913961857E+02,  6.830573034571858E+07,  4.069464046454410E+00,
2457960.500000000, A.D. 2017-Jul-26 00:00:00.0000, -3.795224439192018E+07, -5.717768560764126E+07, -1.190384279416550E+06,  3.074382226076074E+01, -2.463302376440538E+01, -4.833271693876744E+00,  2.289493558920696E+02,  6.863729016040030E+07,  3.604683145982698E+00,
2457961.500000000, A.D. 2017-Jul-27 00:00:00.0000, -3.523945563942791E+07, -5.921771418308974E+07, -1.605952015488595E+06,  3.203355297003099E+01, -2.258222106427653E+01, -4.784015694771342E+00,  2.299206759766472E+02,  6.892848459606062E+07,  3.135212454714309E+00,
2457962.500000000, A.D. 2017-Jul-28 00:00:00.0000, -3.242005652722603E+07, -6.107862947966754E+07, -2.016664417886831E+06,  3.321181595489420E+01, -2.048752063418958E+01, -4.720946606225096E+00,  2.307561110694544E+02,  6.917894173603277E+07,  2.661811406213184E+00,
2457963.500000000, A.D. 2017-Jul-29 00:00:00.0000, -2.950363886852297E+07, -6.275679930730356E+07, -2.421344734227736E+06,  3.427948084263929E+01, -1.835258682196577E+01, -4.644443630050280E+00,  2.314546305125522E+02,  6.938835259683983E+07,  2.185179183923071E+00,
2457964.500000000, A.D. 2017-Jul-30 00:00:00.0000, -2.649972816755317E+07, -6.424889511968640E+07, -2.818847106733400E+06,  3.523721018841762E+01, -1.618079193815221E+01, -4.554843108168873E+00,  2.320153977512861E+02,  6.955646638570575E+07,  1.705965315588236E+00,
2457965.500000000, A.D. 2017-Jul-31 00:00:00.0000, -2.341780218686712E+07, -6.555186878286018E+07, -3.208052970572319E+06,  3.608544421558314E+01, -1.397526213596113E+01, -4.452440871652112E+00,  2.324377574657833E+02,  6.968308664267503E+07,  1.224779577849199E+00,
2457966.500000000, A.D. 2017-Aug-01 00:00:00.0000, -2.026731073934870E+07, -6.666293320363113E+07, -3.587867655238330E+06,  3.682438763058664E+01, -1.173892096487786E+01, -4.337494589991236E+00,  2.327212254732327E+02,  6.976806821339265E+07,  7.422013413765499E-01,
2457967.500000000, A.D. 2017-Aug-02 00:00:00.0000, -1.705769654851325E+07, -6.757954663926110E+07, -3.957217188732427E+06,  3.745399800417778E+01, -9.474531119869470E+00, -4.210226116621624E+00,  2.328654812581441E+02,  6.981131500973195E+07,  2.587884839454846E-01,
2457968.500000000, A.D. 2017-Aug-03 00:00:00.0000, -1.379841705973849E+07, -6.829940055545208E+07, -4.315045304446008E+06,  3.797397531970899E+01, -7.184734917948047E+00, -4.070823837528426E+00,  2.328703630240804E+02,  6.981277852634136E+07, -2.249140039685696E-01,
2457969.500000000, A.D. 2017-Aug-04 00:00:00.0000, -1.049896711532089E+07, -6.882041094598451E+07, -4.660310651657455E+06,  3.838375238599172E+01, -4.872094043650861E+00, -3.919445039430659E+00,  2.327358651959167E+02,  6.977245709184052E+07, -7.083655987735965E-01,
2457970.500000000, A.D. 2017-Aug-05 00:00:00.0000, -7.168902428536738E+06, -6.914071307465747E+07, -4.991984212373637E+06,  3.868248590024648E+01, -2.539129116916354E+00, -3.756218323096032E+00,  2.324621383366942E+02,  6.969039584389357E+07, -1.191021887703082E+00,
2457971.500000000, A.D. 2017-Aug-06 00:00:00.0000, -3.817863806799101E+06, -6.925865964863971E+07, -5.309046929839429E+06,  3.886904802991407E+01, -1.883596523896263E-01, -3.581246096245139E+00,  2.320494914778532E+02,  6.956668742779562E+07, -1.672326156829520E+00,
2457972.500000000, A.D. 2017-Aug-07 00:00:00.0000, -4.556020818013184E+05, -6.917282248234357E+07, -5.610487557409164E+06,  3.894201846412906E+01,  2.177655000571993E+00, -3.394607189683073E+00,  2.314983968963419E+02,  6.940147342861390E+07, -2.151700802400828E+00,
2457973.500000000, A.D. 2017-Aug-08 00:00:00.0000,  2.907996294834308E+06, -6.888199776291005E+07, -5.895300740663163E+06,  3.889967697026866E+01,  4.556273122388546E+00, -3.196359650145651E+00,  2.308094974070781E+02,  6.919494655741255E+07, -2.628538443337646E+00,
2457974.500000000, A.D. 2017-Aug-09 00:00:00.0000,  6.262883038820032E+06, -6.838521508281359E+07, -6.162485350735959E+06,  3.873999658216604E+01,  6.944725846419742E+00, -2.986543774246226E+00,  2.299836162747507E+02,  6.894735362273630E+07, -3.102192610501277E+00,
2457975.500000000, A.D. 2017-Aug-10 00:00:00.0000,  9.598821267047917E+06, -6.768175046242295E+07, -6.411043092906300E+06,  3.846063764865989E+01,  9.340069458769573E+00, -2.765185460233180E+00,  2.290217698851935E+02,  6.865899932939252E+07, -3.571967885549093E+00,
