 Automated mail xmit by MAIL_REQUEST, PID= 432 Mon Jul 31 11:18:12 2017
++++++++++++++++++++++++++++++++ (part 1 of 1)  +++++++++++++++++++++++++++++++

*******************************************************************************
 Revised: Jul 31, 2013              Mercury                             199 / 1

 GEOPHYSICAL DATA (updated 2008-Feb-07):
  Mean radius (km)      =  2440(+-1)     Density (g cm^-3)     =  5.427
  Mass (10^23 kg )      =     3.302      Flattening, f         =  
  Volume (x10^10 km^3)  =     6.085      Semi-major axis       = 
  Sidereal rot. period  =    58.6462 d   Rot. Rate (x10^5 s)   =  0.124001
  Mean solar day        =   175.9421 d   Polar gravity ms^-2   =
  Mom. of Inertia       =     0.33       Equ. gravity  ms^-2   =  3.701     
  Core radius (km)      = ~1600          Potential Love # k2   =

  GM (km^3 s^-2)        = 22032.09       Equatorial Radius, Re =    2440 km
  GM 1-sigma (km^3 s^-2)=   +-0.91       Mass ratio (sun/plnt) = 6023600
 
  Atmos. pressure (bar) =                Max. angular diam.    = 11.0"   
  Mean Temperature (K)  =                Visual mag. V(1,0)    = -0.42 
  Geometric albedo      =   0.106        Obliquity to orbit[1] = 2.11' +/- 0.1'  
  Sidereal orb. per.    =   0.2408467 y  Mean Orbit vel.  km/s = 47.362 
  Sidereal orb. per.    =  87.969257  d  Escape vel. km/s      =  4.435
  Hill's sphere rad. Rp =  94.4          Planetary Solar Const = 9936.9 (Wm^2)

[1] Margot et al., Science 316, 2007
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / MAIL_REQUEST Mon Jul 31 11:18:12 2017 Pasadena, USA  / Horizons    
*******************************************************************************
Target body name: Mercury (199)                   {source: DE431mx}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000, -5.821135415307831E+07, -4.165094739727991E+06,  4.952843598247872E+06, -6.052260072537077E+00, -4.643774923435920E+01, -3.240690370093638E+00,  1.953683631640154E+02,  5.856996180837683E+07,  9.043496540929118E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000, -5.859472745966197E+07, -8.162443119104682E+06,  4.661261651699685E+06, -2.840830118446192E+00, -4.605969686553819E+01, -3.504416306432795E+00,  1.979498435087732E+02,  5.934387014621046E+07,  8.864981668044134E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000, -5.870556692922033E+07, -1.211863841009948E+07,  4.348040090904422E+06,  2.554783275363163E-01, -4.548812901196577E+01, -3.741768340760078E+00,  2.004748084259899E+02,  6.010083558510663E+07,  8.651906809165474E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000, -5.855403039664283E+07, -1.601771827189453E+07,  4.015415120360214E+06,  3.232060978730530E+00, -4.474035103661811E+01, -3.953738136829433E+00,  2.029338089166035E+02,  6.083802538641086E+07,  8.407771921465208E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000, -5.815060384935457E+07, -1.984515670252537E+07,  3.665535682716891E+06,  6.085870580697048E+00, -4.383230733692298E+01, -4.141348993134660E+00,  2.053183638200620E+02,  6.155289696215465E+07,  8.135794101078892E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000, -5.750598056677574E+07, -2.358774726841682E+07,  3.300461912596727E+06,  8.815108486677520E+00, -4.277860576819030E+01, -4.305629543663590E+00,  2.076208791410756E+02,  6.224317368982397E+07,  7.838914515176297E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000, -5.663096490833023E+07, -2.723348970630354E+07,  2.922165576113355E+06,  1.141896179919523E+01, -4.159256945300068E+01, -4.447593876675880E+00,  2.098345701785083E+02,  6.290682156718850E+07,  7.519810564407880E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000, -5.553639700791151E+07, -3.077148182844118E+07,  2.532531995009322E+06,  1.389738147635576E+01, -4.028630634211023E+01, -4.568226862111768E+00,  2.119533876844477E+02,  6.354202707534750E+07,  7.180911418991219E+00,
