*******************************************************************************
 Revised: Dec 02, 2013             Metis  / (Jupiter)                       516

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)             =  20 +- 10       Density (g cm^-3)   =              
  Mass (10^20 kg )        =                 Geometric Albedo    =   0.05-0.10
                                            V(1,0)              = +10.8 

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 127.96 (10^3)   Orbital period      = 0.294780 d
  Eccentricity, e         =  < 0.004        Rotational period   = Synchronous 
  Inclination, i  (deg)   =  ~ 0 
******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Nov 10 01:33:10 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Metis (516)                     {source: jup310}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000, -7.381546545141242E+08, -3.444230203116913E+08,  1.794161786000228E+07,  1.424141249299374E+01,  1.905745396115118E+01,  1.136051764294735E+00,  2.717721346802515E+03,  8.147523627169964E+08, -2.093373268389010E+01,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000, -7.378859937935048E+08, -3.452512593146107E+08,  1.793746191533741E+07, -2.049834953906612E+01, -2.924210518903809E+01, -1.091284612761861E+00,  2.718078553945571E+03,  8.148594507244283E+08,  3.092771859453925E+01,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000, -7.373552462388641E+08, -3.464523692744948E+08,  1.792367006864247E+07,  3.691635473300929E+01, -1.333714323556115E+01,  3.030294541510452E-01,  2.718175439308334E+03,  8.148884962254752E+08, -2.772692419365906E+01,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000, -7.367927465773135E+08, -3.471984454351180E+08,  1.792654620130648E+07, -1.782972933603478E+01,  1.014749717334734E+01,  3.554225166231553E-01,  2.717537641222278E+03,  8.146972891695489E+08,  1.180805635496217E+01,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000, -7.365371050510564E+08, -3.482789664489175E+08,  1.791295250864059E+07,  1.017525702289243E+01, -4.238304590496977E+01, -1.125135774560761E+00,  2.718303882520272E+03,  8.149270025316955E+08,  8.892225372015391E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000, -7.358298625579489E+08, -3.492906375369725E+08,  1.790825038465953E+07,  2.126872366701103E+01,  1.612694156259903E+01,  1.132553525057484E+00,  2.717616596303647E+03,  8.147209593074640E+08, -2.609834620994006E+01,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000, -7.355154592666837E+08, -3.500732898881890E+08,  1.790603607397729E+07, -2.395722837492656E+01, -2.256254776105891E+01, -9.089986491478257E-01,  2.717789947330747E+03,  8.147729286379753E+08,  3.130096704850525E+01,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000, -7.350350785898606E+08, -3.512799319733275E+08,  1.789090967628953E+07,  3.557979082952685E+01, -2.072333968856106E+01,  1.502612655672220E-02,  2.718075110433801E+03,  8.148584183855704E+08, -2.316038189659006E+01,
