 Automated mail xmit by MAIL_REQUEST, PID= 432 Mon Jul 31 11:18:15 2017
++++++++++++++++++++++++++++++++ (part 1 of 1)  +++++++++++++++++++++++++++++++

*******************************************************************************
 Revised: Jun 17, 2016             Mimas / (Saturn)                         601
                        http://ssd.jpl.nasa.gov/?sat_phys_par
                         http://ssd.jpl.nasa.gov/?sat_elem

 SATELLITE PHYSICAL PROPERTIES:
  Mean Radius (km)        = 198.8   +- 1.5   Density (g/cm^3)  = 1.152 +- 0.027
  Mass (10^19 kg)         =   3.75           Geometric Albedo  = 0.6 
  GM (km^3/s^2)           =   2.503          V(1,0)            = +3.3

 SATELLITE ORBITAL DATA (mean elements referred to local Laplace plane):
  Semi-major axis, a (km) = 185.54(10^3)    Orbital period     = 0.9424218 d
  Eccentricity, e         = 0.0196          Rotational period  = Synchronous
  Inclination, i  (deg)   = 1.572
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / MAIL_REQUEST Mon Jul 31 11:18:15 2017 Pasadena, USA  / Horizons    
*******************************************************************************
Target body name: Mimas (601)                     {source: sat389}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000, -1.306281054450440E+08, -1.497881466590660E+09,  3.116425356329310E+07, -4.162306639565019E+00,  3.952664000804233E+00, -1.267296295590019E+00,  5.016435594622856E+03,  1.503889557310678E+09, -3.601595766539191E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000, -1.299115707190152E+08, -1.497943896050059E+09,  3.113573575250995E+07, -5.050706121597658E+00, -7.449432701372682E-01,  1.143281879230682E+00,  5.016434003614689E+03,  1.503889080338428E+09,  1.201967176979680E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000, -1.291943948814726E+08, -1.498029889895763E+09,  3.111890948492360E+07, -3.915555037052158E+00, -5.552364671181983E+00,  3.383819023944658E+00,  5.016512479804295E+03,  1.503912606908205E+09,  5.937031658338518E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000, -1.284665814022827E+08, -1.498138253450629E+09,  3.111208311101222E+07, -8.414878705328128E-01, -9.769835736071371E+00,  5.121933335024229E+00,  5.016664099951086E+03,  1.503958061484693E+09,  9.909865250532032E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000, -1.277193201395455E+08, -1.498264334265525E+09,  3.111201280331898E+07,  3.782670284867912E+00, -1.273236848032717E+01,  6.075801950355559E+00,  5.016870745639612E+03,  1.504020012303592E+09,  1.248810772604531E+01,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000, -1.269464762300917E+08, -1.498400518387303E+09,  3.111430878382993E+07,  9.287344168881685E+00, -1.393108226142274E+01,  6.070469420282853E+00,  5.017105190164691E+03,  1.504090297004030E+09,  1.322009972808738E+01,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000, -1.261457674437375E+08, -1.498537295505364E+09,  3.111408134685934E+07,  1.481309592061848E+01, -1.313013569433379E+01,  5.084635227001570E+00,  5.017334990091731E+03,  1.504159189289005E+09,  1.194394354127198E+01,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000, -1.253193425485139E+08, -1.498664833745958E+09,  3.110676847816998E+07,  1.946843343363166E+01, -1.043745211849696E+01,  3.267739592927602E+00,  5.017527902903374E+03,  1.504217023094987E+09,  8.844548213619337E+00,
