*******************************************************************************
 Revised: Jun 17, 2016             Miranda / (Uranus)                       705

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)           = 240x234.2x232.9   Density (g cm^-3)   =  1.20 +- 0.14
  Mass (10^20 kg )      =  0.659 +- 0.075   Geometric Albedo    =  0.27 
                                            V(1,0)              = +3.6 

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 129.8 (10^3)    Orbital period      =  1.413 d
  Eccentricity, e         =   0.0027        Rotational period   = Synchronous
  Inclination, i  (deg)   =   4.22
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Nov 11 07:04:01 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Miranda (705)                   {source: ura111}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000,  2.697565306951357E+09,  1.268164247517513E+09, -3.015029461699748E+07,  1.367912403853611E+00,  4.636991267290996E+00, -4.893584207827155E+00,  9.943348281267947E+03,  2.980940821991393E+09,  3.260058877626533E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000,  2.697106622573435E+09,  1.268696063850394E+09, -3.016039023759794E+07,  7.546390985976617E-01,  6.000262222578715E+00,  5.607684763336156E+00,  9.942718998203880E+03,  2.980752167674839E+09,  3.179976287977922E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000,  2.696916875533319E+09,  1.269168385654459E+09, -3.034836067476177E+07, -9.219444772387636E+00,  6.972318128981821E+00,  2.094133207505763E+00,  9.942823385028976E+03,  2.980783462057717E+09, -5.394079831767910E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000,  2.696831814978813E+09,  1.269663761180896E+09, -3.022584911528385E+07, -3.338992133682581E+00,  5.090124145047616E+00, -6.571675088443980E+00,  9.943266215638751E+03,  2.980916219334699E+09, -7.861071620675556E-01,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000,  2.696421935871376E+09,  1.270206368018652E+09, -3.008959556471336E+07,  3.513705217279001E+00,  5.115489288910466E+00,  1.533783214849612E+00,  9.942795861820976E+03,  2.980775210807538E+09,  5.342908086460068E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000,  2.696078882137048E+09,  1.270700819263390E+09, -3.027075144765633E+07, -5.968550078822078E+00,  6.980015789261962E+00,  5.912913162552059E+00,  9.942469861003709E+03,  2.980677478221220E+09, -2.483045690570666E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000,  2.696025098049123E+09,  1.271173320505460E+09, -3.029841829311043E+07, -7.836597044965893E+00,  5.969333750797955E+00, -4.510037029988940E+00,  9.942980546608467E+03,  2.980830577913936E+09, -4.496383532218800E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000,  2.695751303030866E+09,  1.271705545902604E+09, -3.008941278816754E+07,  2.643029708395608E+00,  4.636992818243709E+00, -3.370492853044157E+00,  9.942904744190551E+03,  2.980807852920746E+09,  4.402583816841398E+00,
