*******************************************************************************
 Revised: Sep 29, 2017              Mneme / (Jupiter)                       540

 Recently discovered Jovian satellite.
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sun Nov 12 11:26:36 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Mneme (540)                     {source: jup341}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000, -7.311914197982137E+08, -3.558916962834475E+08,  2.384958415818173E+07,  3.088112762818344E+00, -1.352275057474840E+01, -7.872550724404928E-01,  2.713720930399813E+03,  8.135530680506070E+08,  3.117015322547065E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000, -7.309249685843195E+08, -3.570580323769419E+08,  2.378067729628912E+07,  3.079877410916776E+00, -1.347570392839618E+01, -8.077508590675722E-01,  2.714620083459775E+03,  8.138226273565707E+08,  3.122597089108402E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000, -7.306591931260381E+08, -3.582202868733720E+08,  2.371001530859117E+07,  3.072470345949819E+00, -1.342827368320513E+01, -8.278820865272509E-01,  2.715520684671345E+03,  8.140926208074654E+08,  3.127067099154211E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000, -7.303940218551806E+08, -3.593784278133715E+08,  2.363762992728263E+07,  3.065891486544837E+00, -1.338048731305657E+01, -8.476433517250355E-01,  2.716422415535310E+03,  8.143629529196279E+08,  3.130438819098876E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000, -7.301293832562494E+08, -3.605324256118097E+08,  2.356355333426370E+07,  3.060139714569993E+00, -1.333237213003686E+01, -8.670297483361642E-01,  2.717324961594970E+03,  8.146335294213115E+08,  3.132726737653551E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000, -7.298652059485469E+08, -3.616822530194657E+08,  2.348781810633598E+07,  3.055213053542863E+00, -1.328395492547753E+01, -8.860370071137060E-01,  2.718228012670272E+03,  8.149042573228760E+08,  3.133946034649989E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000, -7.296014187566352E+08, -3.628278850876131E+08,  2.341045716889670E+07,  3.051108724215747E+00, -1.323526217615367E+01, -9.046613148743985E-01,  2.719131263059576E+03,  8.151750449772748E+08,  3.134112618833125E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000, -7.293379507809662E+08, -3.639692991396539E+08,  2.333150375634177E+07,  3.047823120398817E+00, -1.318631996871313E+01, -9.228993493418480E-01,  2.720034411750596E+03,  8.154458021432950E+08,  3.133243106921220E+00,
