*******************************************************************************
 Revised: Apr 28, 2015              Naiad / (Neptune)                       803

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)             =  29             Density (g cm^-3)   =              
  Mass (10^20 kg )        =                 Geometric Albedo    =  0.06 
                                            V(1,0)              = +10.0

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 48.227(10^3)    Orbital period      = 0.294396 d
  Eccentricity, e         = 0.0             Rotational period   = 
  Inclination, i  (deg)   = 4.74
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Wed Nov  1 05:29:36 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Naiad (803)                     {source: nep088}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000,  4.266997386492894E+09, -1.364280809400005E+09, -7.025415854311782E+07,  1.457074371526877E+00,  1.647081311801631E+01,  3.728135358905760E+00,  1.494481226639056E+04,  4.480342003689777E+09, -3.686191526420547E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000,  4.267053708004643E+09, -1.363812308945612E+09, -7.023427477566868E+07, -5.141543639483383E+00, -4.536556743111111E+00, -1.305017721481153E+00,  1.494451436590580E+04,  4.480252695371211E+09, -3.495466666016910E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000,  4.267243953325644E+09, -1.363428290402335E+09, -7.028469437521243E+07,  1.255522406943488E+01,  9.471852729437984E+00, -2.155198543152601E+00,  1.494473153511945E+04,  4.480317801063572E+09,  9.109507696159191E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000,  4.267386711222105E+09, -1.362891120869153E+09, -7.026915737907135E+07, -9.074734283842854E+00,  8.172595277869743E+00,  4.198312831707621E+00,  1.494463910631609E+04,  4.480290091605425E+09, -1.119542907020400E+01,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000,  4.267471288938865E+09, -1.362513521504770E+09, -7.028822240280080E+07,  7.734563057092555E+00, -3.775493156751042E+00, -5.021926321921972E+00,  1.494452572655369E+04,  4.480256101207767E+09,  8.594189184604353E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000,  4.267696067043067E+09, -1.362034679620063E+09, -7.031816166257834E+07,  2.558629238309602E+00,  1.658319697946158E+01,  3.261571691890974E+00,  1.494475581895593E+04,  4.480325081174602E+09, -2.655339725935151E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000,  4.267755257974850E+09, -1.361557627801724E+09, -7.029658554689860E+07, -5.996204773804340E+00, -3.943390301468087E+00, -6.945285086858921E-01,  1.494445908936752E+04,  4.480236123881930E+09, -4.502521243619205E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000,  4.267938053658962E+09, -1.361179168971185E+09, -7.034580548254341E+07,  1.280453847988586E+01,  8.417951423246645E+00, -2.663413708913882E+00,  1.494465890566950E+04,  4.480296027302250E+09,  9.681948834063299E+00,
