 Automated mail xmit by MAIL_REQUEST, PID= 432 Mon Jul 31 11:18:14 2017
++++++++++++++++++++++++++++++++ (part 1 of 1)  +++++++++++++++++++++++++++++++

*******************************************************************************
 Revised: Dec 12, 2013               Neptune                                899
 
 PHYSICAL DATA (update 2009-May-26):
  Mass (10^24 kg)       =   102.41        Density (g/cm^3)       =  1.638
  Equat. radius (1 bar) = 24766+-15 km    Polar radius (km)      = 24342+-30
  Volumetric mean radius= 24624+-21 km    Flattening             =  0.0171 

  Rotation period       = 16.11+-0.01 hr  Rot. rate(10^-4 rad/s) =  1.083   
  m = w^2a^3/GM         =  0.02609        Hydrostatic flat., fh  =  0.01804
  Inferred rot. period  = 16.7+-1.4 hr    ks = 3*J2/m            =  0.407
  Mom. of inert. I/MRo^2=                 I/MRo^2 (upper bound)  =  0.239 
  Rocky core mass (Mc/M)=                 Y factor (He/H ratio)  =  0.235+-.040

  GM (km^3/s^2)         = 6,835,107       GM 1-sigma (km^3/s^2)  = +-15 
  Equ. grav, ge (m/s^2) = 11.15           Pol. grav, gp (m/s^2)  = 11.41+-0.03

  Geometric albedo      =  0.41           Visual magnitude V(1,0)= -6.87
  Vis. mag. (opposition)= +7.84           Obliquity to orbit     = 29.56 deg
  Sidereal orbit period = 164.79132 yr    Sidereal orbit period  = 60190.029 d
  Mean daily motion     = 0.006020076dg/d Mean orbit velocity    = 5.4778 km/s 

  Atmos. temp. (1 bar)  =  72+-2 K        Heat flow/mass (x10^7) =  2 erg/gm*s
  Planetary Solar Const =   1.47 W/m^2    Dipole tilt/offset     = 47deg/0.55Rp 
  Escape velocity (km/s)=  23.5           Mag.dip.mom(gauss-Rp^3)= 0.133
  Aroche(ice)/Rp        =  2.98           Hill's sphere rad., Rp = 4700
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / MAIL_REQUEST Mon Jul 31 11:18:14 2017 Pasadena, USA  / Horizons    
*******************************************************************************
Target body name: Neptune (899)                   {source: nep081xl}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000,  4.266951148120589E+09, -1.364285855794142E+09, -7.024137683200687E+07,  1.618782642863313E+00,  5.208648056274627E+00, -1.450062679869402E-01,  1.494466983345865E+04,  4.480299303371017E+09, -4.210276184165403E-02,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000,  4.267090962791820E+09, -1.363835809085722E+09, -7.025387445683843E+07,  1.617790404773305E+00,  5.209216832017105E+00, -1.442786703363910E-01,  1.494465760779626E+04,  4.480295638209641E+09, -4.265823435287373E-02,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000,  4.267230726936765E+09, -1.363385692351438E+09, -7.026631763303703E+07,  1.617620845946555E+00,  5.210145417157726E+00, -1.438665549755731E-01,  1.494464531313784E+04,  4.480291952363772E+09, -4.253458646092232E-02,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000,  4.267370500645802E+09, -1.362935508639946E+09, -7.027875657812768E+07,  1.617884489847942E+00,  5.210650465879453E+00, -1.441884961532960E-01,  1.494463314617182E+04,  4.480288304799123E+09, -4.185771018474250E-02,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000,  4.267510285217997E+09, -1.362485314923439E+09, -7.029124509734511E+07,  1.617742087440269E+00,  5.210388325185765E+00, -1.449009087264697E-01,  1.494462117170403E+04,  4.480284714943990E+09, -4.132802436082495E-02,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000,  4.267650021813429E+09, -1.362035162951628E+09, -7.030378472059089E+07,  1.616775967241100E+00,  5.209811784398721E+00, -1.452548274388015E-01,  1.494460925535293E+04,  4.480281142511803E+09, -4.149312974248012E-02,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000,  4.267789652539999E+09, -1.361585045530268E+09, -7.031632311418074E+07,  1.615423621130271E+00,  5.209700005263528E+00, -1.448734614639824E-01,  1.494459720308174E+04,  4.480277529331800E+09, -4.217918059163799E-02,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000,  4.267929180558038E+09, -1.361134903992702E+09, -7.032880841485149E+07,  1.614523547487915E+00,  5.210349580839433E+00, -1.441434473615266E-01,  1.494458496269672E+04,  4.480273859756686E+09, -4.267129299528578E-02,
2457952.500000000, A.D. 2017-Jul-18 00:00:00.0000,  4.268068666797886E+09, -1.360684689115618E+09, -7.034124307903159E+07,  1.614444638262797E+00,  5.211266555123750E+00, -1.438134208623807E-01,  1.494457267806642E+04,  4.480270176917175E+09, -4.245592683070305E-02,
2457953.500000000, A.D. 2017-Jul-19 00:00:00.0000,  4.268208166696083E+09, -1.360234412231014E+09, -7.035368133237106E+07,  1.614703180286892E+00,  5.211679282509123E+00, -1.442167134916172E-01,  1.494456053973052E+04,  4.480266537935617E+09, -4.175421850506732E-02,
