*******************************************************************************
 Revised: Mar 27, 2009             Nereid / (Neptune)                       802

            http://ssd.jpl.nasa.gov/sat_props.html  (physical properties)
            http://ssd.jpl.nasa.gov/sat_elem.html   (mean elements)

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)             =  170   +- 2.5   Density (g cm^-3)   =              
  Mass (10^20 kg )        =                 Geometric Albedo    =  0.2  
                                            V(1,0)              = +4.0 

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 5513.4(10^3)    Orbital period      = 360.13619 d
  Eccentricity, e         = 0.7512          Rotational period   = 
  Inclination, i  (deg)   = 7.23            Local invar ref. pln= Sun   
  
 Fit to all reported measurements through 2008, as described in AJ (2009).
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Wed Nov  1 05:28:30 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Nereid (802)                    {source: nep081xl}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000,  4.270688835600451E+09, -1.355943743648216E+09, -6.946581830580288E+07,  1.304601810564865E+00,  5.598592807831137E+00, -1.365122292562648E-01,  1.494806078671428E+04,  4.481315885582489E+09, -4.486060838698685E-01,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000,  4.270801406697057E+09, -1.355460293235006E+09, -6.947763816235930E+07,  1.301217065731560E+00,  5.592391443395488E+00, -1.370950228112759E-01,  1.494793139600882E+04,  4.481277095224854E+09, -4.493138428690392E-01,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000,  4.270913687015768E+09, -1.354977377988653E+09, -6.948950823380983E+07,  1.297870737146962E+00,  5.586204599327969E+00, -1.376746242218418E-01,  1.494780180564633E+04,  4.481238245011551E+09, -4.499917017263414E-01,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000,  4.271025679849142E+09, -1.354494996676617E+09, -6.950142824762601E+07,  1.294562210763122E+00,  5.580031769606186E+00, -1.382511070021994E-01,  1.494767202418382E+04,  4.481199337507903E+09, -4.506400776686152E-01,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000,  4.271137388436999E+09, -1.354013148109924E+09, -6.951339793708265E+07,  1.291290880268721E+00,  5.573872444471840E+00, -1.388245341437020E-01,  1.494754206005883E+04,  4.481160375243419E+09, -4.512593799867757E-01,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000,  4.271248815967734E+09, -1.353531831144108E+09, -6.952541704116011E+07,  1.288056164461790E+00,  5.567726110304581E+00, -1.393949762265339E-01,  1.494741192159437E+04,  4.481121360713280E+09, -4.518499931575544E-01,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000,  4.271359965580574E+09, -1.353051044678017E+09, -6.953748530497849E+07,  1.284857502705778E+00,  5.561592277341056E+00, -1.399625013186236E-01,  1.494728161700491E+04,  4.481082296380116E+09, -4.524122896951037E-01,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000,  4.271470840366604E+09, -1.352570787652796E+09, -6.954960247907466E+07,  1.281694341991946E+00,  5.555470450520271E+00, -1.405271687755749E-01,  1.494715115439836E+04,  4.481043184674623E+09, -4.529466337607069E-01,
