*******************************************************************************
 Revised: Dec 13, 2013            Neso    / (Neptune)                      813
             http://ssd.jpl.nasa.gov/sat_props.html  (physical properties)
             http://ssd.jpl.nasa.gov/sat_elem.html   (mean elements)

 Irregular Neptunian satellite trajectory.
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Wed Nov  1 05:41:10 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Neso (813)                      {source: nep086}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000,  4.209888304916585E+09, -1.363407565419434E+09, -1.044325130694209E+08,  1.531830154344390E+00,  5.412345366361063E+00, -2.961158873449525E-01,  1.476485432729994E+04,  4.426391970793186E+09, -2.032071824922633E-01,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000,  4.210020635913547E+09, -1.362939931059205E+09, -1.044580939220752E+08,  1.531387354871679E+00,  5.412524067730254E+00, -2.960334816104622E-01,  1.476479578334500E+04,  4.426374419757032E+09, -2.030668072053713E-01,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000,  4.210152928649254E+09, -1.362472281263233E+09, -1.044836676553807E+08,  1.530944477186961E+00,  5.412702675234001E+00, -2.959510875946050E-01,  1.476473727984208E+04,  4.426356880848092E+09, -2.029264599755918E-01,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000,  4.210285183116954E+09, -1.362004616039627E+09, -1.045092342703490E+08,  1.530501521347460E+00,  5.412881188907650E+00, -2.958687052924498E-01,  1.476467881678311E+04,  4.426339354063941E+09, -2.027861407960806E-01,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000,  4.210417399309894E+09, -1.361536935396491E+09, -1.045347937679923E+08,  1.530058487410343E+00,  5.413059608786485E+00, -2.957863346990666E-01,  1.476462039416000E+04,  4.426321839402155E+09, -2.026458496599942E-01,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000,  4.210549577221331E+09, -1.361069239341929E+09, -1.045603461493221E+08,  1.529615375432716E+00,  5.413237934905721E+00, -2.957039758095203E-01,  1.476456201196467E+04,  4.426304336860312E+09, -2.025055865604955E-01,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000,  4.210681716844522E+09, -1.360601527884039E+09, -1.045858914153491E+08,  1.529172185471628E+00,  5.413416167300513E+00, -2.956216286188713E-01,  1.476450367018903E+04,  4.426286846435989E+09, -2.023653514907520E-01,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000,  4.210813818172736E+09, -1.360133801030918E+09, -1.046114295670841E+08,  1.528728917584068E+00,  5.413594306005947E+00, -2.955392931221823E-01,  1.476444536882501E+04,  4.426269368126767E+09, -2.022251444439356E-01,
