*******************************************************************************
 Revised: Nov 05, 2015             Nix / (Pluto)                            902 

 Fit to all available observations including New Horizons encounter tracking.
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Aug  5 10:21:34 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Nix (902)                       {source: plu055l_merged}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000,  1.532656390804425E+09, -4.748920933193563E+09,  6.478476173102736E+07,  5.185682884458616E+00,  4.406597076979103E-01, -1.562066542845819E+00,  1.664664732922989E+04,  4.990539320288962E+09,  1.152984362044785E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000,  1.533104235568799E+09, -4.748882157558562E+09,  6.465123017487097E+07,  5.182256788366653E+00,  4.576796750927284E-01, -1.529757992263454E+00,  1.664697731744294E+04,  4.990638248266467E+09,  1.136642643859381E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000,  1.533552098361299E+09, -4.748841705374800E+09,  6.452027288187766E+07,  5.186164646985850E+00,  4.795241397165033E-01, -1.502500431388123E+00,  1.664730225426393E+04,  4.990735661874723E+09,  1.117896856007514E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000,  1.534000606645470E+09, -4.748799170446870E+09,  6.439144722147107E+07,  5.197063127180693E+00,  5.056820877632985E-01, -1.480513660897314E+00,  1.664762147451104E+04,  4.990831361697249E+09,  1.097128413465639E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000,  1.534450321698494E+09, -4.748754248864128E+09,  6.426426200044060E+07,  5.213875427590336E+00,  5.344089310662929E-01, -1.464717587182749E+00,  1.664793456868562E+04,  4.990925224969434E+09,  1.075657700398303E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000,  1.534901690021113E+09, -4.748706819711117E+09,  6.413813268226433E+07,  5.235046920414506E+00,  5.633049825626056E-01, -1.456250155731811E+00,  1.664824158724135E+04,  4.991017266816907E+09,  1.055278053739114E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000,  1.535355014141629E+09, -4.748656974625554E+09,  6.401238487544417E+07,  5.258882577715275E+00,  5.899721319503834E-01, -1.456001731577362E+00,  1.664854310437840E+04,  4.991107659380551E+09,  1.037740450719529E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000,  1.535810463848752E+09, -4.748604987749535E+09,  6.388628298306084E+07,  5.284105310715050E+00,  6.126781441378517E-01, -1.464522873953859E+00,  1.664884013517524E+04,  4.991196706973235E+09,  1.024294395617303E+00,
