*******************************************************************************
 Revised: Sep 08, 2007             Ophelia  / (Uranus)                      707

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)           = 16 +- 2           Density (g cm^-3)   =
  Mass (10^20 kg )      =                   Geometric Albedo    =   0.07 
                                            V(1,0)              = +11.1

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) =  53.764 (10^3)  Orbital period      =  0.376409 d
  Eccentricity, e         =   0.01          Rotational period   = 
  Inclination, i  (deg)   =   0.1 
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sun Nov 12 08:36:38 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Ophelia (707)                   {source: ura086x}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000,  2.697520164048049E+09,  1.268157452208495E+09, -3.022539795893073E+07, -9.720984926228409E-01,  4.021576750912442E+00, -9.878594475508109E+00,  9.943204909450265E+03,  2.980897840201762E+09,  9.313709624199744E-01,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000,  2.697176880464002E+09,  1.268685344016894E+09, -3.019562967194349E+07,  4.308264665740303E+00,  5.308418052536056E+00,  7.599694074410942E+00,  9.942917023764276E+03,  2.980811534244336E+09,  6.080688523377542E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000,  2.696949386503086E+09,  1.269171844301343E+09, -3.027970042837489E+07, -1.291362431070954E+01,  8.254796253292637E+00,  1.667732213197666E+00,  9.942924085618359E+03,  2.980813651334930E+09, -8.186065102747618E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000,  2.696752970848799E+09,  1.269674295324332E+09, -3.020054216736853E+07,  8.147219244442647E-01,  3.708698342385697E+00, -9.296522570040006E+00,  9.943042395528486E+03,  2.980849119753693E+09,  2.410958239670991E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000,  2.696405803545127E+09,  1.270200414200669E+09, -3.018807684539461E+07,  2.816439858657369E+00,  5.803293829673829E+00,  8.819489164032932E+00,  9.942742042150583E+03,  2.980759076076263E+09,  4.931417539832862E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000,  2.696194144518916E+09,  1.270684258906312E+09, -3.026480021911764E+07, -1.306889251330826E+01,  8.019217112184618E+00, -2.467711057536963E-01,  9.942793876364898E+03,  2.980774615582781E+09, -8.400135289468299E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000,  2.695983201799693E+09,  1.271190981387917E+09, -3.017635491986185E+07,  2.482816451432818E+00,  3.466586541683378E+00, -8.393230611419767E+00,  9.942875141032293E+03,  2.980798978117167E+09,  3.808912369940974E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000,  2.695635412287768E+09,  1.271714566462683E+09, -3.018152160786080E+07,  1.110747491298202E+00,  6.300718732121950E+00,  9.721199397145426E+00,  9.942571087389004E+03,  2.980707825128082E+09,  3.594275622219824E+00,
