*******************************************************************************
 Revised: Sep 29, 2017           Orthosie / (Jupiter)                       535
  
 Jovian irregular satellite.
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sun Nov 12 11:22:28 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Orthosie (535)                  {source: jup341}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000, -7.417053974698380E+08, -3.266065085899773E+08,  1.851082494750486E+07,  7.674918820714351E+00, -1.173634273771214E+01, -1.575804422195286E+00,  2.704012517769634E+03,  8.106425591649272E+08, -2.329673180548760E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000, -7.410413275348911E+08, -3.276216443108028E+08,  1.837461623582084E+07,  7.697023007443129E+00, -1.176222849018189E+01, -1.577136666014189E+00,  2.703342664389554E+03,  8.104417421736134E+08, -2.318773444145199E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000, -7.403753602346710E+08, -3.286390319194380E+08,  1.823830245620289E+07,  7.718837603257256E+00, -1.178846999810276E+01, -1.578235412852038E+00,  2.702676034871742E+03,  8.102418916718932E+08, -2.307298792050622E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000, -7.397075210308870E+08, -3.296587022063825E+08,  1.810190407973798E+07,  7.740352403393834E+00, -1.181506844560259E+01, -1.579093762939246E+00,  2.702012796571831E+03,  8.100430578317232E+08, -2.295237696091541E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000, -7.390378362731328E+08, -3.306806860566832E+08,  1.796544218080898E+07,  7.761556989492414E+00, -1.184202486642857E+01, -1.579704647470382E+00,  2.701353120172298E+03,  8.098452918224224E+08, -2.282578521684362E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000, -7.383663332280174E+08, -3.317050144369625E+08,  1.782893845206589E+07,  7.782440563082801E+00, -1.186934008360705E+01, -1.580060824623443E+00,  2.700697179745257E+03,  8.096486458294985E+08, -2.269309403523651E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000, -7.376930401077369E+08, -3.327317183714254E+08,  1.769241521917917E+07,  7.802992047877812E+00, -1.189701460873996E+01, -1.580154882524253E+00,  2.700045152797482E+03,  8.094531730681428E+08, -2.255418384304760E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000, -7.370179860928280E+08, -3.337608289172307E+08,  1.755589545574594E+07,  7.823200094339244E+00, -1.192504870550845E+01, -1.579979233800962E+00,  2.699397220295613E+03,  8.092589277907894E+08, -2.240893397004277E+00,
