 Automated mail xmit by MAIL_REQUEST, PID= 432 Mon Jul 31 11:18:17 2017
++++++++++++++++++++++++++++++++ (part 1 of 1)  +++++++++++++++++++++++++++++++

*******************************************************************************
JPL/HORIZONS                      2 Pallas                 2017-Jul-31 11:18:17
Rec #:     2 (+COV)   Soln.date: 2017-Apr-04_14:56:47   # obs: 8350 (1821-2016)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs): 
 
  EPOCH=  2449786.5 ! 1995-Mar-10.00 (TDB)         Residual RMS= .39161        
   EC= .2339141814791774   QR= 2.123195211426101   TP= 2449888.2394561414      
   OM= 173.3017349636546   W=  309.6971528589874   IN= 34.806456444838         
   A= 2.771484812922942    MA= 338.2667472372901   ADIST= 3.419774414419784    
   PER= 4.61399            N= .213616752           ANGMOM= .027843183          
   DAN= 2.2793             DDN= 3.08002            L= 128.6156708              
   B= -26.0525952          MOID= 1.22390997        TP= 1995-Jun-19.7394561414  
 
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= 14.3                RAD= 272.5              ROTPER= 7.8132              
   H= 4.13                 G= .110                 B-V= .635                   
                           ALBEDO= .101            STYP= B                     
 
ASTEROID comments: 
1: soln ref.= JPL#32, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / MAIL_REQUEST Mon Jul 31 11:18:17 2017 Pasadena, USA  / Horizons    
*******************************************************************************
Target body name: 2 Pallas                        {source: JPL#32}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2449786.5 ! 1995-Mar-10.00 (TDB)         Residual RMS= .39161        
   EC= .2339141814791774   QR= 2.123195211426101   TP= 2449888.2394561414      
   OM= 173.3017349636546   W=  309.6971528589874   IN= 34.806456444838         
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 3.705233851766776E-02  Y= 2.156699956281809E+00  Z=-4.289114237947000E-01
  VX=-1.265454343220175E-02 VY=-1.030603398200818E-03 VZ= 1.064503413349006E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= 14.3                RAD= 272.5              ROTPER= 7.8132              
   H= 4.13                 G= .110                 B-V= .635                   
                           ALBEDO= .101            STYP= B                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000,  4.004212906593055E+08,  8.978099367420438E+07, -9.502957140196368E+07, -9.047431715522157E+00,  1.281295342963921E+01, -8.088661348076702E+00,  1.405047265484670E+03,  4.212225733258278E+08, -4.044803580423822E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000,  3.996369300157365E+08,  9.088743746555412E+07, -9.572779743343921E+07, -9.109070240927126E+00,  1.279913718633974E+01, -8.073954183242785E+00,  1.403880941720999E+03,  4.208729182578931E+08, -4.049056523424873E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000,  3.988472423686993E+08,  9.199267866120532E+07, -9.642474651546365E+07, -9.170741855420191E+00,  1.278511542913586E+01, -8.059102248790627E+00,  1.402713398508456E+03,  4.205228976083837E+08, -4.053266070415327E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000,  3.980522248919670E+08,  9.309669946918911E+07, -9.712040611810443E+07, -9.232445801322397E+00,  1.277088733437814E+01, -8.044105039115779E+00,  1.401544648393985E+03,  4.201725151387786E+08, -4.057431941898209E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000,  3.972518748251466E+08,  9.419948202628915E+07, -9.781476366771784E+07, -9.294181312364522E+00,  1.275645207647623E+01, -8.028962047996805E+00,  1.400374704005292E+03,  4.198217746347688E+08, -4.061553856909705E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000,  3.964461894744241E+08,  9.530100839787540E+07, -9.850780654689705E+07, -9.355947613614656E+00,  1.274180882792818E+01, -8.013672768621969E+00,  1.399203578051265E+03,  4.194706799063836E+08, -4.065631533017791E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000,  3.956351662133170E+08,  9.640126057774006E+07, -9.919952209442206E+07, -9.417743921405577E+00,  1.272695675935051E+01, -7.998236693616386E+00,  1.398031283322406E+03,  4.191192347881186E+08, -4.069664686321169E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000,  3.948188024834315E+08,  9.750022048793650E+07, -9.988989760521245E+07, -9.479569443261790E+00,  1.271189503950901E+01, -7.982653315069670E+00,  1.396857832691246E+03,  4.187674431390614E+08, -4.073653031448310E+00,
2457952.500000000, A.D. 2017-Jul-18 00:00:00.0000,  3.939970957952268E+08,  9.859786997862059E+07, -1.005789203302822E+08, -9.541423377826328E+00,  1.269662283535033E+01, -7.966922124564103E+00,  1.395683239112771E+03,  4.184153088430194E+08, -4.077596281556724E+00,
2457953.500000000, A.D. 2017-Jul-19 00:00:00.0000,  3.931700437287855E+08,  9.969419082789499E+07, -1.012665774766969E+08, -9.603304914787293E+00,  1.268113931203421E+01, -7.951042613203276E+00,  1.394507515624849E+03,  4.180628358086469E+08, -4.081494148332427E+00,
2457954.500000000, A.D. 2017-Jul-20 00:00:00.0000,  3.923376439345908E+08,  1.007891647416561E+08, -1.019528562075343E+08, -9.665213234804078E+00,  1.266544363296666E+01, -7.935014271641268E+00,  1.393330675348651E+03,  4.177100279695720E+08, -4.085346341989556E+00,
