*******************************************************************************
 Revised: Sep 29, 2017            Pasithee / (Jupiter)                      538
  
 Jovian irregular satellite.
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sun Nov 12 11:24:58 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Pasithee (538)                  {source: jup341}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000, -7.349336489366610E+08, -3.737803145542643E+08,  2.391826431420071E+07,  3.750824304531497E+00, -1.137253937219393E+01, -3.173684143572935E-01,  2.751471685393989E+03,  8.248704596816667E+08,  1.802262927592169E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000, -7.346089873097291E+08, -3.747620662074336E+08,  2.389071988670324E+07,  3.764497758675741E+00, -1.135318850703752E+01, -3.202328092665532E-01,  2.751990181174430E+03,  8.250259008061477E+08,  1.795895017255655E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000, -7.342831425769413E+08, -3.757421446925325E+08,  2.386292830335245E+07,  3.778211037587592E+00, -1.133380862427894E+01, -3.230896137328036E-01,  2.752506827692414E+03,  8.251807875356913E+08,  1.789429715328482E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000, -7.339561112920692E+08, -3.767205475012794E+08,  2.383489022027527E+07,  3.791964259914328E+00, -1.131439969820678E+01, -3.259388203031461E-01,  2.753021596885644E+03,  8.253351114574324E+08,  1.782867068375028E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000, -7.336278899991693E+08, -3.776972721229604E+08,  2.380660629416095E+07,  3.805757540487787E+00, -1.129496169487635E+01, -3.287804241841581E-01,  2.753534460706579E+03,  8.254888641629299E+08,  1.776207123015128E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000, -7.332984752316320E+08, -3.786723160436293E+08,  2.377807718206732E+07,  3.819591010002191E+00, -1.127549457637273E+01, -3.316144206181297E-01,  2.754045391118510E+03,  8.256420372469894E+08,  1.769449910414637E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000, -7.329678635113398E+08, -3.796456767463005E+08,  2.374930354158625E+07,  3.833464802542375E+00, -1.125599830993682E+01, -3.344408022065624E-01,  2.754554360093512E+03,  8.257946223070509E+08,  1.762595461654959E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000, -7.326360513485153E+08, -3.806173517111262E+08,  2.372028603096572E+07,  3.847379055090945E+00, -1.123647286066287E+01, -3.372595616177136E-01,  2.755061339612423E+03,  8.259466109431809E+08,  1.755643804764199E+00,
