*******************************************************************************
 Revised: Apr 06, 2006            Perdita  / (Uranus)                      725

 Irregular Uranian satellite.
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sun Nov 12 09:46:32 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Perdita (725)                   {source: ura074x}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000,  2.697393972164952E+09,  1.268183385724727E+09, -3.023818469403857E+07, -2.996955676727245E+00,  6.992194368699606E+00,  8.780478217648483E+00,  9.942861231753843E+03,  2.980794808220392E+09,  1.737485678040342E-01,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000,  2.697282700441545E+09,  1.268653770458128E+09, -3.025817950448984E+07, -6.253856821948322E+00,  5.526759184317356E+00, -7.930539505019067E+00,  9.943193707699271E+03,  2.980894482001298E+09, -3.226183385369071E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000,  2.696909633694314E+09,  1.269195412801990E+09, -3.016999614554465E+07,  3.433982449342245E+00,  5.219813673523678E+00,  5.977187325747591E+00,  9.942833875644154E+03,  2.980786607065026E+09,  5.269002539088509E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000,  2.696728075928303E+09,  1.269667838263489E+09, -3.029128754924655E+07, -1.103993443032872E+01,  7.222194002587117E+00, -2.928630075482661E+00,  9.942961166597688E+03,  2.980824767932868E+09, -6.881720097345503E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000,  2.696458133469015E+09,  1.270195085519847E+09, -3.013947685636741E+07,  5.439812671518885E+00,  3.907860569281675E+00, -7.232287306003289E-01,  9.942890729815077E+03,  2.980803651516676E+09,  6.593446749922942E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000,  2.696156569528194E+09,  1.270691570749489E+09, -3.027629711498457E+07, -1.038399604207349E+01,  8.010817176713577E+00,  4.244251014599790E+00,  9.942691292727453E+03,  2.980743861781960E+09, -6.020678838048846E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000,  2.696000039191535E+09,  1.271189380851771E+09, -3.015924168709779E+07,  1.891354268892316E+00,  3.892431792956118E+00, -6.784447175653423E+00,  9.942923083624426E+03,  2.980813350944706E+09,  3.439236785083914E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000,  2.695610314928465E+09,  1.271715457281010E+09, -3.021556567714596E+07, -4.558560036147725E+00,  7.303333638136594E+00,  8.594539320847932E+00,  9.942497796466383E+03,  2.980685853062241E+09, -1.093717421219176E+00,
