*******************************************************************************
 Revised: Sep 28, 2012             Phobos / (Mars)                          401

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)             = 13.1 x11.1 x9.3 Density (g cm^-3)   =  1.90 +- 0.08
  Mass (10^20 kg )        =  1.08 (10^-4)   Geometric Albedo    =  0.06 
                                 (+- 0.1)   V(1,0)              = +11.8

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 9.3772(10^3)    Orbital period      = 0.319 d
  Eccentricity, e         = 0.0151          Rotational period   = Synchronous
  Inclination, i  (deg)   = 1.082
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Aug  5 11:28:41 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Phobos (401)                    {source: mar097}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000, -1.071808811708498E+08,  2.189935526726356E+08,  7.196059060766667E+06, -2.088494311441172E+01, -1.074538235279789E+01,  2.050066703010733E-01,  8.136345615933412E+02,  2.439215051338202E+08, -4.641969140436236E-01,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000, -1.089736238971244E+08,  2.182325071811841E+08,  7.222522432848543E+06, -1.934255989011743E+01, -1.022610905452255E+01, -4.480189093164366E-01,  8.140115097306896E+02,  2.440345113424543E+08, -5.207312561130079E-01,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000, -1.107548721935740E+08,  2.174612513443187E+08,  7.246921267208025E+06, -1.871333019494871E+01, -8.713105094671061E+00, -5.899363009141556E-01,  8.143921814942562E+02,  2.441486338661452E+08,  7.108560568302219E-01,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000, -1.125290208904703E+08,  2.166815923694793E+08,  7.271540058111772E+06, -1.943594069850612E+01, -7.346577331180987E+00, -9.432981108742045E-02,  8.147883809536775E+02,  2.442674114759433E+08,  2.434026609238787E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000, -1.143002965198172E+08,  2.158907687970788E+08,  7.298246601382151E+06, -2.095833459925359E+01, -7.257082083342271E+00,  6.914274406903487E-01,  8.151984806571392E+02,  2.443903562740692E+08,  3.411971935971008E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000, -1.160694370970444E+08,  2.150833880944681E+08,  7.327044981666073E+06, -2.210710729777036E+01, -8.610120949807666E+00,  1.193379990221495E+00,  8.156079613506618E+02,  2.445131154976839E+08,  2.956117349802426E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000, -1.178331571206656E+08,  2.142555518944367E+08,  7.356123020299405E+06, -2.205281431272805E+01, -1.052319125347377E+01,  1.079008896037246E+00,  8.160003691870544E+02,  2.446307564074945E+08,  1.438240683661172E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000, -1.195866499199558E+08,  2.134074596244760E+08,  7.383239869957894E+06, -2.083133489891981E+01, -1.183424002829505E+01,  4.501821982584318E-01,  8.163685507164308E+02,  2.447411344531764E+08, -1.268350088213936E-01,
