*******************************************************************************
 Revised: Junn 17, 2016             Phoebe / (Saturn)                       609
                          http://ssd.jpl.nasa.gov/?sat_phys_par
                            http://ssd.jpl.nasa.gov/?sat_elem

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)            = 106.6    +- 1.1    Density (g/cm^3)=  1.633 +- 0.049
  Mass (10^19 kg)        =   0.8289           Geometric Albedo=  0.081 +- 0.002
  GM (km^3/s^2)          =   0.5533 +- 0.0006 V(1,0)          = +1.5 (.7-2.5) 

 SATELLITE ORBITAL DATA (mean values with respect to local Laplace plane):
  Semi-major axis, a (km)= 12947.78(10^3)     Orbital period    = 550.31 d
  Eccentricity, e        =     0.1635         Rotational period = Synchronous
  Inclination, i  (deg)  =   175.986
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Aug  5 12:44:42 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Phoebe (609)                    {source: sat389}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000, -1.176568339635339E+08, -1.497605449916589E+09,  2.967446411286497E+07,  8.897405484829962E+00, -2.541648196954841E+00, -3.291451538387625E-01,  5.011844418557383E+03,  1.502513157352898E+09,  1.830119365133791E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000, -1.168888961126631E+08, -1.497824853589189E+09,  2.964612003197169E+07,  8.878921865202706E+00, -2.537106221350129E+00, -3.269663130331023E-01,  5.012372106176666E+03,  1.502671354121340E+09,  1.831804465379448E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000, -1.161225582784095E+08, -1.498043855914238E+09,  2.961796459323823E+07,  8.860368345104908E+00, -2.532357391101411E+00, -3.247784703229346E-01,  5.012900246125727E+03,  1.502829686494837E+09,  1.833257979077495E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000, -1.153578264262761E+08, -1.498262438927722E+09,  2.958999856567430E+07,  8.841746645089302E+00, -2.527399579607365E+00, -3.225818302719712E-01,  5.013428771321956E+03,  1.502988134362529E+09,  1.834477548136116E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000, -1.145947063703015E+08, -1.498480584481385E+09,  2.956222270012236E+07,  8.823058553163415E+00, -2.522230649527136E+00, -3.203766088031410E-01,  5.013957614001552E+03,  1.503146677409340E+09,  1.835460804005004E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000, -1.138332037667020E+08, -1.498698274242034E+09,  2.953463772830880E+07,  8.804305935716451E+00, -2.516848458172318E+00, -3.181630321790357E-01,  5.014486705717132E+03,  1.503305295115262E+09,  1.836205372429817E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000, -1.130733241069813E+08, -1.498915489691352E+09,  2.950724436206400E+07,  8.785490738154278E+00, -2.511250864153106E+00, -3.159413340291829E-01,  5.015015977337039E+03,  1.503463966755143E+09,  1.836708880305435E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000, -1.123150727115977E+08, -1.499132212126326E+09,  2.948004329289454E+07,  8.766614970577224E+00, -2.505435734799049E+00, -3.137117500691065E-01,  5.015545359046878E+03,  1.503622671399156E+09,  1.836968964461643E+00,
