            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000,  1.532244414118476E+09, -4.749673035110893E+09,  6.485182854104328E+07,  5.313048368749207E+00,  5.394305314683344E-01, -1.595798970112333E+00,  1.664861560896954E+04,  4.991129395710144E+09,  1.097002125177690E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000,  1.532703214727755E+09, -4.749627100621771E+09,  6.471326311022592E+07,  5.304867110561145E+00,  5.229019304677243E-01, -1.608978756262254E+00,  1.664893369027954E+04,  4.991224754087912E+09,  1.110564180467131E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000,  1.533160834925085E+09, -4.749582596032963E+09,  6.457438139836168E+07,  5.287941526362943E+00,  5.091157161613555E-01, -1.602522431283670E+00,  1.664925523596776E+04,  4.991321151060146E+09,  1.119081629296338E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000,  1.533617156481005E+09, -4.749538666057983E+09,  6.443676018610978E+07,  5.277247970076982E+00,  5.107649950771309E-01, -1.582190898626237E+00,  1.664957747675932E+04,  4.991417756419113E+09,  1.114999574993725E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000,  1.534073209459689E+09, -4.749493908069554E+09,  6.430085200002241E+07,  5.282214856230094E+00,  5.267867914888784E-01, -1.566121183810238E+00,  1.664989703464547E+04,  4.991513557463276E+09,  1.101996548891634E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000,  1.534530254172957E+09, -4.749447623031395E+09,  6.416558044991803E+07,  5.298301267206917E+00,  5.432875529865033E-01, -1.568664927743186E+00,  1.665021293676023E+04,  4.991608262534748E+09,  1.091718987320999E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000,  1.534988656056434E+09, -4.749400440205688E+09,  6.402930010852504E+07,  5.311032840260083E+00,  5.459385271626540E-01, -1.587557517832367E+00,  1.665052748573215E+04,  4.991702561944201E+09,  1.093383312814268E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000,  1.535447559325767E+09, -4.749353755338820E+09,  6.389126570491219E+07,  5.308936521891650E+00,  5.327811430651380E-01, -1.605940611134110E+00,  1.665084420295998E+04,  4.991797511380424E+09,  1.105538017455650E+00,
2457952.500000000, A.D. 2017-Jul-18 00:00:00.0000,  1.535905651443272E+09, -4.749308484747398E+09,  6.375229642993355E+07,  5.293774335209484E+00,  5.159565415680002E-01, -1.607427498053735E+00,  1.665116468501607E+04,  4.991893589483765E+09,  1.117376371100701E+00,
2457953.500000000, A.D. 2017-Jul-19 00:00:00.0000,  1.536362333610274E+09, -4.749264248851588E+09,  6.361404430111837E+07,  5.278951032729886E+00,  5.108655922597729E-01, -1.590700260574089E+00,  1.665148718198917E+04,  4.991990271644025E+09,  1.118382579637302E+00,
2457954.500000000, A.D. 2017-Jul-20 00:00:00.0000,  1.536818254313653E+09, -4.749219710774940E+09,  6.347752155247712E+07,  5.277572690548232E+00,  5.224536136363134E-01, -1.570676866227675E+00,  1.665180815864079E+04,  4.992086498023378E+09,  1.107697227805673E+00,
2457955.500000000, A.D. 2017-Jul-21 00:00:00.0000,  1.537274731741395E+09, -4.749173768043469E+09,  6.334219748537993E+07,  5.290761465751014E+00,  5.407884035154586E-01, -1.565230929146032E+00,  1.665212544700462E+04,  4.992181618681862E+09,  1.094894189316655E+00,
2457956.500000000, A.D. 2017-Jul-22 00:00:00.0000,  1.537732577704315E+09, -4.749126536921648E+09,  6.320647080594110E+07,  5.306631721850426E+00,  5.499045268753577E-01, -1.579232926836583E+00,  1.665244018300258E+04,  4.992275974160313E+09,  1.091445381531023E+00,
2457957.500000000, A.D. 2017-Jul-23 00:00:00.0000,  1.538191372500029E+09, -4.749079249060625E+09,  6.306909915286875E+07,  5.310904043977329E+00,  5.420693890669857E-01, -1.600186778094980E+00,  1.665275579270466E+04,  4.992370591568670E+09,  1.100465971849137E+00,
2457958.500000000, A.D. 2017-Jul-24 00:00:00.0000,  1.538649840108041E+09, -4.749033151644588E+09,  6.293030781062460E+07,  5.299658989596653E+00,  5.246805364031853E-01, -1.609405402113220E+00,  1.665307493239062E+04,  4.992466267239567E+09,  1.113941190692618E+00,
2457959.500000000, A.D. 2017-Jul-25 00:00:00.0000,  1.539106986855021E+09, -4.748988395208323E+09,  6.279158747345781E+07,  5.282811857242379E+00,  5.136441155490025E-01, -1.598679083350600E+00,  1.665339712020590E+04,  4.992562856716648E+09,  1.119893581447235E+00,
