 Automated mail xmit by MAIL_REQUEST, PID= 432 Mon Jul 31 11:18:14 2017
++++++++++++++++++++++++++++++++ (part 1 of 1)  +++++++++++++++++++++++++++++++

*******************************************************************************
 Revised: Nov 05, 2015             134340 Pluto                             999
 
 Fit to all available observations (PLU043/DE433) including New Horizons
 encounter tracking.

 ICRF/J2000.0 helio. ecliptic osc. elements (AU, DAYS, DEG, period=Julian yrs):

 EPOCH= 2457217.5 ! 2015-Jul-14 00:00:00.0000 (TDB)
  EC= 2.543193766760227E-01 QR= 2.963711277830007E+01 IN= 1.736672922693450E+01
  OM= 1.102097591127033E+02 W = 1.142276233642205E+02 Tp=  2447886.048708124086
  N = 3.933503338914713E-03 MA= 3.670529481351401E+01 TA= 5.935219029576444E+01
  A = 3.974504882021532E+01 AD= 4.985298486213057E+01 PR= 9.152146801007345E+04

 NOTE:
  The Horizons output log may report using DE431 as the source of target or
  center data, but it is nevertheless using DE433 as an override if Pluto is 
  involved. This is to maintain ephemeris consistency for the New Horizons 
  spacecraft encounter at Pluto.

 PHYSICAL DATA (updated 2013-Nov-19, Mc= Charon mass, radius is IAU 2009):
  Mass Pluto (10^22 kg) = 1.307+-0.018    Density Pluto:
  GM (planet) km^3/s^2  = 872.4             (R = 1195 km)       = 1.83 g/cm^3
  Mass ratio (Mc/Mp)    = 0.117           Radius of Pluto, Rp   = 1195 km
  Surface gravity       = 61.1 cm/s^2     Geometric albedo      = 0.3 
  Sidereal orbit period = 249.58932 yr    Mean orbit velocity   = 4.656 km/s
  Escape velocity (km/s)= 1.21
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / MAIL_REQUEST Mon Jul 31 11:18:14 2017 Pasadena, USA  / Horizons    
*******************************************************************************
Target body name: Pluto (999)                     {source: plu055l_merged}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000,  1.532648719309393E+09, -4.748900614122503E+09,  6.483071582371616E+07,  5.305280943336912E+00,  5.497677299184702E-01, -1.595625043974719E+00,  1.664657696535004E+04,  4.990518225728469E+09,  1.085437218009449E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000,  1.533106848264882E+09, -4.748853786933512E+09,  6.469216543302751E+07,  5.297087004171241E+00,  5.332290840903547E-01, -1.608804531946419E+00,  1.664689171419334E+04,  4.990612585057856E+09,  1.099002630289444E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000,  1.533563795715273E+09, -4.748808390511818E+09,  6.455329878688312E+07,  5.280148796454490E+00,  5.194328461403023E-01, -1.602347912720252E+00,  1.664720992818718E+04,  4.990707983213239E+09,  1.107522449158521E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000,  1.534019443436025E+09, -4.748763569568955E+09,  6.441569266561389E+07,  5.269442672977825E+00,  5.210721260164382E-01, -1.582016089476260E+00,  1.664752883810365E+04,  4.990803590000978E+09,  1.103444049791177E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000,  1.534474821496121E+09, -4.748717921475383E+09,  6.427979959546733E+07,  5.274397046866984E+00,  5.370839511368358E-01, -1.565946087460180E+00,  1.664784506651303E+04,  4.990898392893114E+09,  1.090447080622001E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000,  1.534931190212055E+09, -4.748670747192297E+09,  6.414454318598175E+07,  5.290470998888076E+00,  5.535747719633952E-01, -1.568489547304498E+00,  1.664815764114091E+04,  4.990992100409115E+09,  1.080176940202663E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000,  1.535388915023984E+09, -4.748622675979120E+09,  6.400827800962853E+07,  5.303190164502801E+00,  5.562158386966711E-01, -1.587381856144388E+00,  1.664846886468825E+04,  4.991085402881360E+09,  1.081847781285276E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000,  1.535847140151922E+09, -4.748575103579266E+09,  6.387025879524159E+07,  5.301081488288123E+00,  5.430485827394759E-01, -1.605764670769511E+00,  1.664878225803830E+04,  4.991179355844092E+09,  1.094006620296894E+00,
2457952.500000000, A.D. 2017-Jul-18 00:00:00.0000,  1.536304553062385E+09, -4.748528946306169E+09,  6.373130473346519E+07,  5.285906991324370E+00,  5.262141470815486E-01, -1.607251281325704E+00,  1.664909941711547E+04,  4.991274437743413E+09,  1.105847357446728E+00,
