*******************************************************************************
 Revised: Sep 08, 2007              Portia / (Uranus)                       712

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)           = 55 +- 6           Density (g cm^-3)   =
  Mass (10^20 kg )      =                   Geometric Albedo    =   0.07 
                                            V(1,0)              =  +8.3

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) =  66.097 (10^3)  Orbital period      =  0.513196 d
  Eccentricity, e         =   0.000         Rotational period   = 
  Inclination, i  (deg)   =   0.1
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sun Nov 12 08:42:45 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Portia (712)                    {source: ura086x}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000,  2.697442378206786E+09,  1.268164314999365E+09, -3.029808259215379E+07, -1.134214605234494E+01,  8.164194920506782E+00,  3.505498654013443E+00,  9.942982310852947E+03,  2.980831106821125E+09, -6.826101151354919E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000,  2.697207833646788E+09,  1.268664288088392E+09, -3.029749511351889E+07, -1.206813520563432E+01,  7.914023550377135E+00,  5.910961107109167E-01,  9.942984003148165E+03,  2.980831614158468E+09, -7.557601840108412E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000,  2.696973749876044E+09,  1.269165039620640E+09, -3.029012958638918E+07, -1.184996563304587E+01,  7.449650605375767E+00, -2.378130636629812E+00,  9.942988303188808E+03,  2.980832903278222E+09, -7.525472573017854E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000,  2.696738011913565E+09,  1.269667001050109E+09, -3.027620888145936E+07, -1.071021236812363E+01,  6.818946305100658E+00, -5.095477277226130E+00,  9.942989450201745E+03,  2.980833247144050E+09, -6.733209242113961E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000,  2.696498625338017E+09,  1.270170479522450E+09, -3.025665596259838E+07, -8.767351442489804E+00,  6.087275174798346E+00, -7.279150323237195E+00,  9.942981897560110E+03,  2.980830982919050E+09, -5.263307858661692E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000,  2.696253974397735E+09,  1.270675622534421E+09, -3.023294175299424E+07, -6.222130924825762E+00,  5.330217483340776E+00, -8.702973643295882E+00,  9.942961035561077E+03,  2.980824728649080E+09, -3.267669926227219E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000,  2.696002986231020E+09,  1.271182394466941E+09, -3.020699736565202E+07, -3.338628668239688E+00,  4.626162637435225E+00, -9.219690844051110E+00,  9.942923649459362E+03,  2.980813520577752E+09, -9.533495350132163E-01,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000,  2.695745218568785E+09,  1.271690591961776E+09, -3.018096674510837E+07, -4.153236630848451E-01,  4.047942441369811E+00, -8.775542521883679E+00,  9.942868196212437E+03,  2.980796896112553E+09,  1.440211476063776E+00,
