*******************************************************************************
 Revised: Sep 29, 2017             Praxidike / (Jupiter)                    527

 Recently discovered irregular Jovian satellite.
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sun Nov 12 11:14:29 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Praxidike (527)                 {source: jup341}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000, -7.411330382346579E+08, -3.674406530034149E+08,  3.126223520097095E+07,  3.680711239097608E+00, -1.056460785965067E+01,  2.036017678922111E-01,  2.761274408148056E+03,  8.278092420312010E+08,  1.401693403043254E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000, -7.408143074695007E+08, -3.683525464635271E+08,  3.127947057965042E+07,  3.697328127377509E+00, -1.054403468570036E+01,  1.953600092444550E-01,  2.761676723898680E+03,  8.279298532589726E+08,  1.390213438297631E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000, -7.404941377847184E+08, -3.692626617907705E+08,  3.129599249025437E+07,  3.714019648620889E+00, -1.052344740189050E+01,  1.870862944399794E-01,  2.762075714070076E+03,  8.280494675031731E+08,  1.378615067677310E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000, -7.401725227109413E+08, -3.701709977722073E+08,  3.131179816909982E+07,  3.730786284447325E+00, -1.050284614682938E+01,  1.787805571908549E-01,  2.762471344529588E+03,  8.281680745310899E+08,  1.366898238777592E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000, -7.398494557374662E+08, -3.710775532063323E+08,  3.132688484592046E+07,  3.747628521876795E+00, -1.048223105162571E+01,  1.704427155010091E-01,  2.762863581129684E+03,  8.282856641055506E+08,  1.355062892579840E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000, -7.395249303103110E+08, -3.719823269034258E+08,  3.134124974350521E+07,  3.764546872127031E+00, -1.046160225862571E+01,  1.620726922089060E-01,  2.763252389703262E+03,  8.284022259835147E+08,  1.343108955850810E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000, -7.391989398310812E+08, -3.728853176864159E+08,  3.135489007816763E+07,  3.781541850489153E+00, -1.044095991679489E+01,  1.536704129195345E-01,  2.763637736062259E+03,  8.285177499156597E+08,  1.331036357077887E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000, -7.388714776565886E+08, -3.737865243911865E+08,  3.136780305961309E+07,  3.798613980843615E+00, -1.042030417722471E+01,  1.452357987168806E-01,  2.764019585997631E+03,  8.286322256463722E+08,  1.318845020189480E+00,
