*******************************************************************************
 Revised: Jan 08, 2014       Prospero (1999U3)  / (Uranus)                  718

           http://ssd.jpl.nasa.gov/sat_props.html  (physical properties)
           http://ssd.jpl.nasa.gov/sat_elem.html   (mean elements)

*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sun Nov 12 09:38:11 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Prospero (718)                  {source: ura112}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000,  2.688389833078903E+09,  1.262826869251577E+09, -2.321940666705996E+07, -3.206484950011125E+00,  6.500423250528092E+00, -1.913704040920856E-01,  9.907870405004662E+03,  2.970304822261803E+09, -1.369990335568839E-01,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000,  2.688112838994210E+09,  1.263388538792398E+09, -2.323601553733808E+07, -3.205412455479544E+00,  6.501185142730936E+00, -1.930946459585643E-01,  9.907831330491246E+03,  2.970293108017381E+09, -1.341621224799443E-01,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000,  2.687835938274480E+09,  1.263950273809428E+09, -2.325277350070626E+07, -3.204323714976581E+00,  6.501938881670624E+00, -1.948216247556487E-01,  9.907793075223683E+03,  2.970281639376687E+09, -1.313137653060608E-01,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000,  2.687559132325694E+09,  1.264512073592550E+09, -2.326968079147613E+07, -3.203218674769310E+00,  6.502684335796404E+00, -1.965512903331637E-01,  9.907755642497874E+03,  2.970270417327806E+09, -1.284539821107641E-01,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000,  2.687282422558436E+09,  1.265073937420229E+09, -2.328673763958156E+07, -3.202097281942380E+00,  6.503421372341867E+00, -1.982835914943633E-01,  9.907719035603724E+03,  2.970259442857030E+09, -1.255827943913057E-01,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000,  2.687005810387831E+09,  1.265635864559407E+09, -2.330394427048767E+07, -3.200959484398015E+00,  6.504149857324947E+00, -2.000184759959280E-01,  9.907683257824745E+03,  2.970248716948728E+09, -1.227002250676208E-01,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000,  2.686729297233466E+09,  1.266197854265397E+09, -2.332130090510011E+07, -3.199805230856009E+00,  6.504869655547922E+00, -2.017558905479682E-01,  9.907648312437630E+03,  2.970238240585229E+09, -1.198062984832828E-01,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000,  2.686452884519326E+09,  1.266759905781779E+09, -2.333880775967586E+07, -3.198634470853736E+00,  6.505580630597411E+00, -2.034957808140239E-01,  9.907614202711857E+03,  2.970228014746698E+09, -1.169010404064584E-01,
