*******************************************************************************
 Revised: Mar 27, 2009            Proteus  / (Neptune)                      808

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)             = 218 x 208 x 201 Density (g cm^-3)   =              
  Mass (10^20 kg )        =                 Geometric Albedo    =  0.06 
                                            V(1,0)              = +5.6 

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 117.647(10^3)   Orbital period      = 1.122315 d
  Eccentricity, e         = 0.0             Rotational period   = 
  Inclination, i  (deg)   = 0.55

 Fir to all reported measurements through 2008, as described in AJ (2009).
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Wed Nov  1 05:35:13 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Proteus (808)                   {source: nep081xl}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000,  4.267028021922504E+09, -1.364354289653092E+09, -7.029846181038302E+07,  6.676893473625054E+00,  1.090796150194457E+01, -1.710970233847657E-01,  1.494498654350633E+04,  4.480394250654688E+09,  3.039954651395866E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000,  4.267101146732011E+09, -1.363944463784568E+09, -7.029784608135206E+07,  8.684706029563520E+00,  6.821756968756169E+00, -2.502500052242259E+00,  1.494480259297305E+04,  4.480339103672164E+09,  6.233890141833543E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000,  4.267169634171465E+09, -1.363485589639316E+09, -7.027735714933980E+07,  7.508143383460458E+00,  2.004817205399069E+00, -3.772892011754686E+00,  1.494455320470773E+04,  4.480264338951107E+09,  6.600086228796945E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000,  4.267265699195992E+09, -1.362981574987599E+09, -7.025188398478574E+07,  3.672252136555330E+00, -1.369744793344571E+00, -3.406943173842917E+00,  1.494434552035204E+04,  4.480202076747627E+09,  3.967847067822908E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000,  4.267409091965615E+09, -1.362456757442038E+09, -7.023859435053968E+07, -1.092600360647711E+00, -1.774968622188561E+00, -1.568148619689160E+00,  1.494426793490420E+04,  4.480178817215514E+09, -4.763448629292061E-01,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000,  4.267598123205331E+09, -1.361944871526721E+09, -7.024912489894086E+07, -4.633516149098465E+00,  9.723905253094712E-01,  9.127488477158601E-01,  1.494434993738917E+04,  4.480203400942044E+09, -4.723546014485722E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000,  4.267810471441701E+09, -1.361473757205894E+09, -7.028431967739320E+07, -5.353266703307927E+00,  5.629182539297858E+00,  2.915299155014637E+00,  1.494454886804276E+04,  4.480263038851657E+09, -6.855760821626330E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000,  4.268013334775299E+09, -1.361052785896103E+09, -7.033388995763916E+07, -2.931903818524225E+00,  1.009335703525175E+01,  3.537503901096257E+00,  1.494476941922115E+04,  4.480329158431541E+09, -5.914699964811250E+00,
