*******************************************************************************
 Revised: Dec 12, 2013            Psamathe/ (Neptune)                       810
             http://ssd.jpl.nasa.gov/sat_props.html  (physical properties)
             http://ssd.jpl.nasa.gov/sat_elem.html   (mean elements)

 Irregular Neptunian satellite trajectory.
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Wed Nov  1 05:38:08 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Psamathe (810)                  {source: nep086}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000,  4.250619783001238E+09, -1.331411904090638E+09, -9.181302635015309E+07,  1.888618496394274E+00,  5.259418356296973E+00, -4.621144188742721E-01,  1.486096583389884E+04,  4.455205475598553E+09,  2.396690936734821E-01,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000,  4.250782941198159E+09, -1.330957493744269E+09, -9.185294538735056E+07,  1.888191573405841E+00,  5.259339670287437E+00, -4.619373484039093E-01,  1.486103493825843E+04,  4.455226192564372E+09,  2.398902420377970E-01,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000,  4.250946062497503E+09, -1.330503090194091E+09, -9.189284912055683E+07,  1.887764385843848E+00,  5.259261037098692E+00, -4.617601598653096E-01,  1.486110410630247E+04,  4.455246928622312E+09,  2.401110409294232E-01,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000,  4.251109146876419E+09, -1.330048693435534E+09, -9.193273753958356E+07,  1.887336933898157E+00,  5.259182456843412E+00, -4.615828535566142E-01,  1.486117333793028E+04,  4.455267683742184E+09,  2.403314904970902E-01,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000,  4.251272194312072E+09, -1.329594303464021E+09, -9.197261063426811E+07,  1.886909217758630E+00,  5.259103929634271E+00, -4.614054297759664E-01,  1.486124263304120E+04,  4.455288457893813E+09,  2.405515908896729E-01,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000,  4.251435204781644E+09, -1.329139920274962E+09, -9.201246839447427E+07,  1.886481237615129E+00,  5.259025455583943E+00, -4.612278888215084E-01,  1.486131199153462E+04,  4.455309251047038E+09,  2.407713422561872E-01,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000,  4.251598178262333E+09, -1.328685543863762E+09, -9.205231081009042E+07,  1.886052993657515E+00,  5.258947034805104E+00, -4.610502309913804E-01,  1.486138141330996E+04,  4.455330063171707E+09,  2.409907447457893E-01,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000,  4.251761114731356E+09, -1.328231174225811E+09, -9.209213787103206E+07,  1.885624486075647E+00,  5.258868667410425E+00, -4.608724565837257E-01,  1.486145089826672E+04,  4.455350894237687E+09,  2.412097985077797E-01,
