*******************************************************************************
 Revised: Jan 08, 2014             Puck / (Uranus)                          715

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)           = 77 +- 3           Density (g cm^-3)   =
  Mass (10^20 kg )      =                   Geometric Albedo    =   0.07 
                                            V(1,0)              =  +7.5

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) =  86.004 (10^3)  Orbital period      =  0.761832 d
  Eccentricity, e         =   0.000         Rotational period   = 
  Inclination, i  (deg)   =   0.3
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sun Nov 12 08:46:10 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Puck (715)                      {source: ura111}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000,  2.697412309839196E+09,  1.268171093976807E+09, -3.030166849476403E+07, -8.950244019566124E+00,  7.895974766046240E+00,  5.269569087463644E+00,  9.942901290806847E+03,  2.980806817622357E+09, -4.793577392703421E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000,  2.697176474630456E+09,  1.268690950438142E+09, -3.015546769706219E+07,  4.258002640078967E+00,  4.739397019763957E+00,  3.836964296176580E+00,  9.942922402178565E+03,  2.980813146652376E+09,  5.831197177144740E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000,  2.697042231034392E+09,  1.269159705641406E+09, -3.021826623051673E+07, -2.473297230647596E+00,  4.641942188681175E+00, -8.046898875329500E+00,  9.943184971159551E+03,  2.980891862852581E+09, -1.798313361519316E-01,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000,  2.696676025621399E+09,  1.269677579525612E+09, -3.030198548334169E+07, -1.052181006070150E+01,  7.870956644539902E+00,  2.499112776011847E+00,  9.942818296579597E+03,  2.980781936578970E+09, -6.191685345519502E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000,  2.696385804757005E+09,  1.270208752132749E+09, -3.016066363508809E+07,  2.376477548568696E+00,  5.491298108461072E+00,  6.297300597158671E+00,  9.942692623388586E+03,  2.980744260704133E+09,  4.426097419369053E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000,  2.696269032256480E+09,  1.270680482717704E+09, -3.017095265692836E+07,  5.319009480063763E-01,  4.085729451601063E+00, -7.162726582550865E+00,  9.943011283885222E+03,  2.980839792717686E+09,  2.295296455543693E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000,  2.695942988203833E+09,  1.271184367396398E+09, -3.029002393430233E+07, -1.095407501460544E+01,  7.541186498052785E+00, -6.381435878187074E-01,  9.942748257113013E+03,  2.980760939275126E+09, -6.684868180081556E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000,  2.695603707393486E+09,  1.271722890673968E+09, -3.017407030242181E+07, -3.068293143187164E-01,  6.295667157115581E+00,  7.818767461634535E+00,  9.942487040850803E+03,  2.980682628609808E+09,  2.329442823883057E+00,
