*******************************************************************************
 Revised: Sep 08, 2007            Rosalind / (Uranus)                       713

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)           = 29 +- 4           Density (g cm^-3)   =
  Mass (10^20 kg )      =                   Geometric Albedo    =   0.07 
                                            V(1,0)              =  +9.8

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) =  69.927 (10^3)  Orbital period      =  0.558459 d
  Eccentricity, e         =   0.000         Rotational period   = 
  Inclination, i  (deg)   =   0.3
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sun Nov 12 08:44:04 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Rosalind (713)                  {source: ura086x}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000,  2.697491770199782E+09,  1.268170971703022E+09, -3.017157677524418E+07,  5.404763544616756E+00,  3.631542593679879E+00, -2.814799055211586E+00,  9.943136568246178E+03,  2.980877352024207E+09,  6.464421957516401E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000,  2.697157364124225E+09,  1.268689617101260E+09, -3.019417965566027E+07,  2.136532906164366E+00,  5.762196008190465E+00,  7.615581198326655E+00,  9.942864136322845E+03,  2.980795678988273E+09,  4.308600409110598E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000,  2.696906720818823E+09,  1.269182196290573E+09, -3.027351092890966E+07, -8.736359149885493E+00,  8.016488667827547E+00,  6.748051337049164E+00,  9.942809814300723E+03,  2.980779393655737E+09, -4.559561921177195E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000,  2.696733625386053E+09,  1.269667248897943E+09, -3.028321735250461E+07, -1.095437707762805E+01,  7.022604023362444E+00, -4.115763139782702E+00,  9.942976802464384E+03,  2.980829455447778E+09, -6.877289840502658E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000,  2.696515785272313E+09,  1.270174483897498E+09, -3.020109261501515E+07, -1.213311759398093E+00,  4.267927244558325E+00, -8.736501439341168E+00,  9.943037489182097E+03,  2.980847648868049E+09,  8.095515594406804E-01,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000,  2.696197669848838E+09,  1.270700383138890E+09, -3.014210332702005E+07,  5.932673037265999E+00,  3.867237244558217E+00, -2.110657702872432E-01,  9.942823294007712E+03,  2.980783434770228E+09,  7.016987812558018E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000,  2.695873455599713E+09,  1.271213455881991E+09, -3.018669985300279E+07, -2.057506312628288E-01,  6.420649822900819E+00,  8.724224386239838E+00,  9.942576367802254E+03,  2.980709408156150E+09,  2.463837374415098E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000,  2.695646351130764E+09,  1.271701309063382E+09, -3.026044804290700E+07, -1.045336592535568E+01,  8.108456186962755E+00,  4.703302299643706E+00,  9.942587887948295E+03,  2.980712861809048E+09, -6.041966548302252E+00,
