*******************************************************************************
 Revised: Dec 11, 2013               Sao  / (Neptune)                       811
             http://ssd.jpl.nasa.gov/sat_props.html  (physical properties)
             http://ssd.jpl.nasa.gov/sat_elem.html   (mean elements)

 Irregular Neptunian satellite trajectory.
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Wed Nov  1 05:39:07 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Sao (811)                       {source: nep086}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000,  4.253196262850587E+09, -1.381116855066405E+09, -6.546168346544945E+07,  1.776241476041899E+00,  4.863775349521651E+00, -5.478638870542158E-01,  1.491797963064585E+04,  4.472297781865251E+09,  1.952297517481292E-01,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000,  4.253349738353775E+09, -1.380696578247962E+09, -6.550902957568765E+07,  1.776431974200569E+00,  4.864854827923981E+00, -5.481105364365810E-01,  1.491803594975024E+04,  4.472314665907990E+09,  1.956043598837683E-01,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000,  4.253503230255165E+09, -1.380276208131331E+09, -6.555639690560752E+07,  1.776621063890155E+00,  4.865935028830697E+00, -5.483550838040530E-01,  1.491809237663405E+04,  4.472331582262184E+09,  1.959777022311063E-01,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000,  4.253656738433021E+09, -1.379855744654339E+09, -6.560378527370453E+07,  1.776808744083093E+00,  4.867015946431658E+00, -5.485975317096499E-01,  1.491814891093260E+04,  4.472348530818508E+09,  1.963497797160751E-01,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000,  4.253810262765520E+09, -1.379435187755314E+09, -6.565119449869603E+07,  1.776995013765647E+00,  4.868097574932378E+00, -5.488378827121594E-01,  1.491820555228150E+04,  4.472365511467718E+09,  1.967205932703137E-01,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000,  4.253963803130748E+09, -1.379014537373084E+09, -6.569862439952028E+07,  1.777179871937903E+00,  4.869179908554036E+00, -5.490761393761356E-01,  1.491826230031661E+04,  4.472382524100651E+09,  1.970901438311756E-01,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000,  4.254117359406710E+09, -1.378593793446975E+09, -6.574607479533738E+07,  1.777363317613774E+00,  4.870262941533478E+00, -5.493123042719001E-01,  1.491831915467408E+04,  4.472399568608225E+09,  1.974584323417408E-01,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000,  4.254270931471324E+09, -1.378172955916811E+09, -6.579354550552982E+07,  1.777545349820991E+00,  4.871346668123202E+00, -5.495463799755433E-01,  1.491837611499032E+04,  4.472416644881439E+09,  1.978254597508282E-01,
