            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000, -1.310976544903083E+08, -1.498808976485150E+09,  3.126905929582417E+07,  9.099379469088179E+00, -8.805715163804704E-01, -3.469449705910916E-01,  5.019660537664510E+03,  1.504856370912045E+09,  7.711868511765384E-02,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000, -1.303114486651161E+08, -1.498884856462319E+09,  3.123908754667085E+07,  9.099836438460358E+00, -8.759003985379961E-01, -3.468515139155979E-01,  5.019682781150754E+03,  1.504863039341460E+09,  7.723337365537865E-02,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000, -1.295252012378887E+08, -1.498960334749325E+09,  3.120912459302276E+07,  9.100385026092040E+00, -8.713068694777416E-01, -3.467269649665132E-01,  5.019705063425753E+03,  1.504869719399452E+09,  7.741812353829156E-02,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000, -1.287388920798277E+08, -1.499035415300249E+09,  3.117917057545304E+07,  9.101238640139965E+00, -8.666250280527896E-01, -3.466784333525759E-01,  5.019727391907169E+03,  1.504876413309779E+09,  7.748748183657819E-02,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000, -1.279525052977306E+08, -1.499110083775854E+09,  3.114921645613283E+07,  9.102187247331896E+00, -8.617860699239452E-01, -3.467196097583810E-01,  5.019749713938220E+03,  1.504883105286336E+09,  7.739104845573318E-02,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000, -1.271660322307139E+08, -1.499184324914237E+09,  3.111925358280516E+07,  9.103199678973709E+00, -8.567174003875377E-01, -3.468862409072062E-01,  5.019771975967073E+03,  1.504889779274685E+09,  7.705858227304223E-02,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000, -1.263794749505311E+08, -1.499258118639439E+09,  3.108927174518788E+07,  9.104122534989237E+00, -8.514358578060961E-01, -3.471534122858799E-01,  5.019794111398004E+03,  1.504896415309933E+09,  7.652031629282924E-02,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000, -1.255928462201812E+08, -1.499331448472517E+09,  3.105926368650109E+07,  9.104826275085983E+00, -8.460089903825814E-01, -3.474752722057337E-01,  5.019816068746422E+03,  1.504902997957387E+09,  7.585506361121908E-02,
2457952.500000000, A.D. 2017-Jul-18 00:00:00.0000, -1.248061632587551E+08, -1.499404311178036E+09,  3.102922946351397E+07,  9.105437941016719E+00, -8.406097665473418E-01, -3.477714681592496E-01,  5.019837842181940E+03,  1.504909525469140E+09,  7.522582000322153E-02,
2457953.500000000, A.D. 2017-Jul-19 00:00:00.0000, -1.240194319893623E+08, -1.499476700073370E+09,  3.099916625849271E+07,  9.105871151231121E+00, -8.350549650676604E-01, -3.481320220187556E-01,  5.019859410993855E+03,  1.504915991636280E+09,  7.445511486873109E-02,
