*******************************************************************************
 Revised: Jan 08, 2014         Setebos (1999U1)  / (Uranus)                 719

           http://ssd.jpl.nasa.gov/sat_props.html  (physical properties)
           http://ssd.jpl.nasa.gov/sat_elem.html   (mean elements)

*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sun Nov 12 09:39:14 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Setebos (719)                   {source: ura112}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000,  2.699806803835959E+09,  1.293767323652701E+09, -2.711079718880504E+07, -2.657786455292157E+00,  5.919829260206895E+00, -1.021792791237708E-01,  9.986624719732505E+03,  2.993914771852169E+09,  1.623766546735984E-01,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000,  2.699577118269341E+09,  1.294278741113931E+09, -2.711962886327231E+07, -2.659009160274783E+00,  5.918537930412948E+00, -1.022575499786509E-01,  9.986671452424189E+03,  2.993928781960677E+09,  1.619312807935036E-01,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000,  2.699347327037179E+09,  1.294790047012677E+09, -2.712846727965313E+07, -2.660232416796508E+00,  5.917246795090616E+00, -1.023353420764681E-01,  9.986718056645432E+03,  2.993942753554717E+09,  1.614851161829066E-01,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000,  2.699117430091862E+09,  1.295301241365686E+09, -2.713731239661884E+07, -2.661456223899184E+00,  5.915955852944921E+00, -1.024126562502747E-01,  9.986764532168472E+03,  2.993956686566006E+09,  1.610381617211799E-01,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000,  2.698887427385860E+09,  1.295812324189592E+09, -2.714616417291284E+07, -2.662680580632466E+00,  5.914665102683879E+00, -1.024894933278930E-01,  9.986810878765800E+03,  2.993970580926339E+09,  1.605904182804445E-01,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000,  2.698657318871727E+09,  1.296323295500919E+09, -2.715502256734937E+07, -2.663905486053804E+00,  5.913374543018501E+00, -1.025658541319125E-01,  9.986857096210164E+03,  2.993984436567587E+09,  1.601418867255729E-01,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000,  2.698427104502095E+09,  1.296834155316078E+09, -2.716388753881371E+07, -2.665130939228448E+00,  5.912084172662786E+00, -1.026417394796937E-01,  9.986903184274546E+03,  2.993998253421693E+09,  1.596925679142012E-01,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000,  2.698196784229680E+09,  1.297344903651371E+09, -2.717275904626167E+07, -2.666356939229448E+00,  5.910793990333731E+00, -1.027171501833637E-01,  9.986949142732185E+03,  2.994012031420674E+09,  1.592424626967334E-01,
