*******************************************************************************
 Revised: Sep 29, 2017             Sponde / (Jupiter)                       536
  
 Jovian irregular satellite.
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sun Nov 12 11:23:22 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Sponde (536)                    {source: jup341}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000, -7.193505519758836E+08, -3.422048579990922E+08,  1.528624489265276E+07,  6.330317228572496E+00, -1.349078853587306E+01, -1.419073582072160E+00,  2.657656204250279E+03,  7.967452859911412E+08,  5.171524336117601E-02,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000, -7.188041640951893E+08, -3.433702669096566E+08,  1.516380029025885E+07,  6.317584245777581E+00, -1.348620895462566E+01, -1.415270295980007E+00,  2.657675999618443E+03,  7.967512204932200E+08,  8.559312817234377E-02,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000, -7.182588675333906E+08, -3.445352645376729E+08,  1.504168991366714E+07,  6.305055585393402E+00, -1.348126933026717E+01, -1.411337555145788E+00,  2.657705502883500E+03,  7.967600653495705E+08,  1.190844179644327E-01,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000, -7.177146445452032E+08, -3.456998200874152E+08,  1.491992477268107E+07,  6.292733338825689E+00, -1.347597683878280E+01, -1.407279397574330E+00,  2.657744602517600E+03,  7.967717871249841E+08,  1.521883635814319E-01,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000, -7.171714772118636E+08, -3.468639033760766E+08,  1.479851553136334E+07,  6.280619438832177E+00, -1.347033853657351E+01, -1.403099793047628E+00,  2.657793186799617E+03,  7.967863523263103E+08,  1.849043841308800E-01,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000, -7.166293474555111E+08, -3.480274848296930E+08,  1.467747251388834E+07,  6.268715623746796E+00, -1.346436145129947E+01, -1.398802635277069E+00,  2.657851143874477E+03,  7.968037274202411E+08,  2.172321372448495E-01,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000, -7.160882370576031E+08, -3.491905354775542E+08,  1.455680571182196E+07,  6.257023417103976E+00, -1.345805251179512E+01, -1.394391730845880E+00,  2.657918361822091E+03,  7.968238788539779E+08,  2.491715055905658E-01,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000, -7.155481276755410E+08, -3.503530269431890E+08,  1.443652479115485E+07,  6.245544173788161E+00, -1.345141855177283E+01, -1.389870811636483E+00,  2.657994728715410E+03,  7.968467730726360E+08,  2.807225548936173E-01,
