*******************************************************************************
 Revised: Jan 08, 2014        Stephano (1999U2)  / (Uranus)                 720

           http://ssd.jpl.nasa.gov/sat_props.html  (physical properties)
           http://ssd.jpl.nasa.gov/sat_elem.html   (mean elements)

*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sun Nov 12 09:40:12 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Stephano (720)                  {source: ura112}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000,  2.697737199014187E+09,  1.273991409978217E+09, -2.578033483906734E+07, -2.034140038806268E+00,  5.971507890012081E+00,  3.536800671493090E-02,  9.952014740983992E+03,  2.983538961251823E+09,  7.102849113979247E-01,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000,  2.697561382785298E+09,  1.274507005920997E+09, -2.577752209005964E+07, -2.035696393299186E+00,  5.963586275165369E+00,  2.974636169793676E-02,  9.952218927186748E+03,  2.983600174735438E+09,  7.066797156105419E-01,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000,  2.697385427870058E+09,  1.275021918199858E+09, -2.577519389283234E+07, -2.037350225581243E+00,  5.955682482421532E+00,  2.415162362991508E-02,  9.952422062189327E+03,  2.983661073077168E+09,  7.029901616910759E-01,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000,  2.697209325884176E+09,  1.275536148392253E+09, -2.577334789864063E+07, -2.039100659738934E+00,  5.947797379864175E+00,  1.858434536399534E-02,  9.952624121853807E+03,  2.983721649040644E+09,  6.992174572776657E-01,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000,  2.697033068519339E+09,  1.276049698149904E+09, -2.577198171157938E+07, -2.040946812979591E+00,  5.939931818579285E+00,  1.304506573112763E-02,  9.952825082390202E+03,  2.983781895493811E+09,  6.953628093165867E-01,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000,  2.696856647543800E+09,  1.276562569197331E+09, -2.577109288979381E+07, -2.042887795631386E+00,  5.932086632655222E+00,  7.534309540083051E-03,  9.953024920356269E+03,  2.983841805408860E+09,  6.914274240403886E-01,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000,  2.696680054802980E+09,  1.277074763330386E+09, -2.577067894669157E+07, -2.044922711143329E+00,  5.924262639182724E+00,  2.052587577451970E-03,  9.953223612657293E+03,  2.983901371862170E+09,  6.874125069462080E-01,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000,  2.696503282220060E+09,  1.277586282414783E+09, -2.577073735215420E+07, -2.047050656085267E+00,  5.916460638254908E+00, -3.399603392355566E-03,  9.953421136545876E+03,  2.983960588034242E+09,  6.833192627742440E-01,
