*******************************************************************************
 Revised: Jan 08, 2014           Sycorax / (Uranus)                         717

           http://ssd.jpl.nasa.gov/sat_props.html  (physical properties)
           http://ssd.jpl.nasa.gov/sat_elem.html   (mean elements)

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)           = ~60               Density (g cm^-3)   =
  Mass (10^20 kg )      =                   Geometric Albedo    =   0.07 
                                            V(1,0)              =  

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 122 (10^5)      Orbital period      = 1290 days
  Eccentricity, e         =   0.5           Rotational period   = 
  Inclination, i  (deg)   =  97.8 (retro)
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sun Nov 12 09:37:03 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Sycorax (717)                   {source: ura112}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000,  2.710003291312397E+09,  1.275924603043236E+09, -3.562498890460581E+07, -2.917441812356284E+00,  5.335954806876929E+00, -3.652697980521369E-03,  9.992107520072377E+03,  2.995558474042782E+09, -3.664995282399335E-01,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000,  2.709751104136322E+09,  1.276385562640585E+09, -3.562527365287209E+07, -2.920225267943353E+00,  5.334406588933353E+00, -2.938181079007895E-03,  9.992001589282539E+03,  2.995526716790919E+09, -3.686227897993519E-01,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000,  2.709498676218477E+09,  1.276846388561911E+09, -3.562549653288656E+07, -2.923014543683726E+00,  5.332860458054302E+00, -2.220559666848754E-03,  9.991895045923324E+03,  2.995494775895376E+09, -3.707505419482771E-01,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000,  2.709246007054654E+09,  1.277307080988467E+09, -3.562565727567756E+07, -2.925809670781033E+00,  5.331316435853136E+00, -1.499816550085908E-03,  9.991787888698293E+03,  2.995462650967491E+09, -3.728828003076087E-01,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000,  2.708993096137941E+09,  1.277767640103387E+09, -3.562575561078221E+07, -2.928610680667905E+00,  5.329774544254407E+00, -7.759343938213981E-04,  9.991680116306503E+03,  2.995430341617252E+09, -3.750195805436575E-01,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000,  2.708739942958699E+09,  1.278228066091716E+09, -3.562579126623333E+07, -2.931417605007609E+00,  5.328234805498332E+00, -4.889572098476513E-05,  9.991571727442491E+03,  2.995397847453290E+09, -3.771608983673080E-01,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000,  2.708486547004541E+09,  1.278688359140429E+09, -3.562576396854776E+07, -2.934230475695691E+00,  5.326697242145266E+00,  6.813170888899656E-04,  9.991462720796259E+03,  2.995365168082878E+09, -3.793067695331819E-01,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000,  2.708232907760319E+09,  1.279148519438469E+09, -3.562567344271368E+07, -2.937049324861618E+00,  5.325161877080160E+00,  1.414721800896634E-03,  9.991353095053260E+03,  2.995332303111925E+09, -3.814572098387955E-01,
