*******************************************************************************
 Revised: Sep 29, 2017             Taygete  / (Jupiter)                     520

 Recently discovered Jovian irregular satellite.
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sun Nov 12 11:09:06 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Taygete (520)                   {source: jup341}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000, -7.312702837414286E+08, -3.286713687601694E+08,  1.462667461713327E+07,  8.145208846178084E+00, -1.226160001722884E+01,  3.514696560040287E-01,  2.674749451816491E+03,  8.018697126942183E+08, -2.395864889913814E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000, -7.305664591648308E+08, -3.297318329626217E+08,  1.465731764852175E+07,  8.146948727325860E+00, -1.228613881817088E+01,  3.578454335404810E-01,  2.674063478234146E+03,  8.016640629878443E+08, -2.364470911815639E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000, -7.298625043968288E+08, -3.307944058724215E+08,  1.468850780192558E+07,  8.148223494790923E+00, -1.231041114198393E+01,  3.641342029765982E-01,  2.673386615846689E+03,  8.014611447489806E+08, -2.332638445048434E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000, -7.291584593725832E+08, -3.318590640764779E+08,  1.472023748177773E+07,  8.149038972879550E+00, -1.233440807191798E+01,  3.703341892143719E-01,  2.672718989328594E+03,  8.012609953540949E+08, -2.300379261716748E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000, -7.284543635180442E+08, -3.329257834065231E+08,  1.475249894443397E+07,  8.149401135889125E+00, -1.235812095005980E+01,  3.764437108978749E-01,  2.672060719954471E+03,  8.010636511604004E+08, -2.267705232520546E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000, -7.277502557329460E+08, -3.339945389484494E+08,  1.478528430181766E+07,  8.149316201263154E+00, -1.238154119122874E+01,  3.824611099893396E-01,  2.671411925540512E+03,  8.008691474883029E+08, -2.234628487374437E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000, -7.270461743691833E+08, -3.350653050555651E+08,  1.481858552521096E+07,  8.148790622191068E+00, -1.240466044007995E+01,  3.883847954019055E-01,  2.670772720378018E+03,  8.006775186014729E+08, -2.201161340091617E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000, -7.263421572132307E+08, -3.361380553696102E+08,  1.485239445176463E+07,  8.147831028424568E+00, -1.242747056509742E+01,  3.942132496355040E-01,  2.670143215190969E+03,  8.004887976941236E+08, -2.167316233775844E+00,
