            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000, -1.309869255675905E+08, -1.499052597930474E+09,  3.139232913480341E+07,  1.958319842314448E+01,  2.483683375055502E+00, -3.114952647967455E+00,  5.020446307690984E+03,  1.505091938839704E+09, -4.242997005039382E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000, -1.304707977222187E+08, -1.498661617907953E+09,  3.113126984279919E+07, -4.071870400371476E-01, -5.922840982146039E+00,  3.254660873336964E+00,  5.018979704138759E+03,  1.504652262155871E+09,  6.001906500180729E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000, -1.293228303059951E+08, -1.499155331782438E+09,  3.129768521940881E+07,  1.730468993705600E+01,  5.684422033404284E+00, -4.657761136464305E+00,  5.020301035652956E+03,  1.505048387378345E+09, -7.245946584202504E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000, -1.289772626661756E+08, -1.498875339077795E+09,  3.111290002301806E+07,  2.486863058871362E+00, -8.701576657254419E+00,  4.522806000474474E+00,  5.019259022669937E+03,  1.504735999744898E+09,  8.548042637241135E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000, -1.276863774958968E+08, -1.499229549469909E+09,  3.119081391503984E+07,  1.389551418484237E+01,  7.982606698344321E+00, -5.606519130800104E+00,  5.020074160515807E+03,  1.504980371923320E+09, -9.247229976025617E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000, -1.274506136502896E+08, -1.499109451961411E+09,  3.110368354474062E+07,  6.294399140970567E+00, -1.040056117290414E+01,  5.119068692627591E+00,  5.019602407333944E+03,  1.504838943877360E+09,  9.933671958987025E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000, -1.260862986687946E+08, -1.499285600651063E+09,  3.107815821638745E+07,  9.826600486360404E+00,  9.062001392775288E+00, -5.829674445622813E+00,  5.019802642948455E+03,  1.504898973004414E+09, -9.971900904352013E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000, -1.258844103353542E+08, -1.499352110124940E+09,  3.109656614130014E+07,  1.048953124807819E+01, -1.078403657819237E+01,  4.960907904311428E+00,  5.019968560559511E+03,  1.504948713852858E+09,  9.969021938081044E+00,
2457952.500000000, A.D. 2017-Jul-18 00:00:00.0000, -1.245263316659596E+08, -1.499336033301041E+09,  3.096692602623528E+07,  5.658817612248310E+00,  8.775192953912956E+00, -5.296197477715886E+00,  5.019529315785667E+03,  1.504817031582443E+09, -9.320496415803262E+00,
2457953.500000000, A.D. 2017-Jul-19 00:00:00.0000, -1.242777830989915E+08, -1.499590004743972E+09,  3.108418509515357E+07,  1.449248752036331E+01, -9.798592724790888E+00,  4.070484869792136E+00,  5.020312923783436E+03,  1.505051951350204E+09,  8.650402521635680E+00,
