 Automated mail xmit by MAIL_REQUEST, PID= 432 Mon Jul 31 11:18:15 2017
++++++++++++++++++++++++++++++++ (part 1 of 1)  +++++++++++++++++++++++++++++++

*******************************************************************************
 Revised: Jun 17, 2016            Tethys  / (Saturn)                        603
                          http://ssd.jpl.nasa.gov/?sat_phys_par
                            http://ssd.jpl.nasa.gov/?sat_elem

 SATELLITE PHYSICAL PROPERTIES:
  Mean Radius (km)       = 536.3  +- 1.5     Density (g/cm^3)  =  0.956+- 0.008
  Mass (10^19 kg)        =  61.76 +- 0.11    Geometric Albedo  =  0.80
  GM (km^3/s^2)          =  41.21 +- 0.007   V(1,0)            = +0.7

 SATELLITE ORBITAL DATA (mean values with respect to local Laplace plane):
  Semi-major axis, a (km)=  294.670(10^3)    Orbital period    =  1.888 d
  Eccentricity, e        =     0.0001        Rotational period = Synchronous
  Inclination, i  (deg)  =     1.091
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / MAIL_REQUEST Mon Jul 31 11:18:14 2017 Pasadena, USA  / Horizons    
*******************************************************************************
Target body name: Tethys (603)                    {source: sat389}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000, -1.305826203804386E+08, -1.498280176932237E+09,  3.137121640356451E+07,  1.957543099758309E+01,  2.494020573660102E+00, -3.114778721643367E+00,  5.017761414068269E+03,  1.504287027981082E+09, -4.248302976473730E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000, -1.300671641888705E+08, -1.497888304209833E+09,  3.111017215170509E+07, -4.149671465767621E-01, -5.912513828369315E+00,  3.254835097839516E+00,  5.016292399356736E+03,  1.503846628449873E+09,  5.992311464293487E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000, -1.289198695195981E+08, -1.498381126251418E+09,  3.127660259405071E+07,  1.729689720699722E+01,  5.694739163536953E+00, -4.657586617713929E+00,  5.017611841745009E+03,  1.504242187326643E+09, -7.251808910947259E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000, -1.285749757149591E+08, -1.498100242578879E+09,  3.109183248865861E+07,  2.479057761621268E+00, -8.691269526161765E+00,  4.522980809811651E+00,  5.016567301226993E+03,  1.503929041957266E+09,  8.539150184199924E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000, -1.272847654632824E+08, -1.498453562865837E+09,  3.116976149663776E+07,  1.388769637532771E+01,  7.992903858145247E+00, -5.606344034262606E+00,  5.017380649281167E+03,  1.504172877569637E+09, -9.253880357653477E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000, -1.270496776150219E+08, -1.498332576112399E+09,  3.108264626697338E+07,  6.286568872499567E+00, -1.039027395377466E+01,  5.119244073253957E+00,  5.016906300124213E+03,  1.504030671269924E+09,  9.925661310613746E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000, -1.256860397050883E+08, -1.498507836414568E+09,  3.105713610367572E+07,  9.818757810450352E+00,  9.072278704461510E+00, -5.829498783746920E+00,  5.017104791568325E+03,  1.504090177507845E+09, -9.979460858394068E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000, -1.254848295130553E+08, -1.498573458355444E+09,  3.107555921783096E+07,  1.048167621432128E+01, -1.077376913836621E+01,  4.961083844864176E+00,  5.017268102246502E+03,  1.504139136817474E+09,  9.961951798521325E+00,
