*******************************************************************************
 Revised: Apr 28, 2015             Thalassa / (Neptune)                     804

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)             =  40             Density (g cm^-3)   =              
  Mass (10^20 kg )        =                 Geometric Albedo    =  0.06 
                                            V(1,0)              = +9.1 

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 50.075(10^3)    Orbital period      = 0.311485 d
  Eccentricity, e         = 0.0             Rotational period   = 
  Inclination, i  (deg)   = 0.21
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Wed Nov  1 05:30:48 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Thalassa (804)                  {source: nep088}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000,  4.266997702660433E+09, -1.364275731639270E+09, -7.025676970573348E+07,  6.646164765436016E-01,  1.606011001044646E+01,  4.103361451321779E+00,  1.494480824982245E+04,  4.480340799552949E+09, -4.321722641854415E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000,  4.267098447336914E+09, -1.363788271332347E+09, -7.024002554094785E+07, -9.153018327709734E+00,  5.587499123643535E+00,  4.384713402730434E+00,  1.494463239248345E+04,  4.480288078849033E+09, -1.048704405163810E+01,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000,  4.267187849059345E+09, -1.363372416913351E+09, -7.024410286359328E+07, -2.728437244778767E+00, -5.451771573954587E+00, -2.160809972027168E+00,  1.494449445218424E+04,  4.480246725387675E+09, -9.057927746834165E-01,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000,  4.267341894893172E+09, -1.362976508483494E+09, -7.028165638160175E+07,  1.024832905436825E+01, -4.181094695194665E-01, -5.666480241891697E+00,  1.494458401842291E+04,  4.480273576670520E+09,  9.977347624775906E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000,  4.267539075486538E+09, -1.362518769104242E+09, -7.031488240162939E+07,  1.021351771585027E+01,  1.310543820949433E+01, -8.470735536900085E-01,  1.494474781796117E+04,  4.480322682536715E+09,  5.756224298448182E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000,  4.267692776801414E+09, -1.362010612620172E+09, -7.031251097009158E+07, -2.787665983288288E+00,  1.472307408261408E+01,  5.032299908714327E+00,  1.494472066405174E+04,  4.480314541999462E+09, -7.210145285926211E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000,  4.267781881548340E+09, -1.361539513901735E+09, -7.029697685982931E+07, -9.143891009792039E+00,  1.994618446747557E+00,  3.104378856963187E+00,  1.494452534272908E+04,  4.480255986140043E+09, -9.365115026310882E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000,  4.267882593553850E+09, -1.361137041033523E+09, -7.031055141214091E+07,  7.224155303565303E-01, -5.882511117326887E+00, -3.719890718113472E+00,  1.494443814022565E+04,  4.480229843487197E+09,  2.533717333161333E+00,
