*******************************************************************************
 Revised: Dec 02, 2013             Thebe / (Jupiter)                        514

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)             =  50 +- 10       Density (g cm^-3)   =              
  Mass (10^20 kg )        =                 Geometric Albedo    = 0.05-0.10 
                                            V(1,0)              = +9.0  

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 221.90 (10^3)   Orbital period      = 0.6745 d 
  Eccentricity, e         =   0.015         Rotational period   = 
  Inclination, i  (deg)   =   0.8
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Nov 10 01:10:27 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Thebe (514)                     {source: jup310}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000, -7.382380550285597E+08, -3.446051237997773E+08,  1.793008672207300E+07,  2.883417053265823E+01, -6.587374516588349E+00,  6.200483000618866E-01,  2.718229356596554E+03,  8.149046602218394E+08, -2.332214106693320E+01,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000, -7.378434288129764E+08, -3.451371420825970E+08,  1.794599722166161E+07, -1.839221820985807E+01, -1.408741352087816E+01, -6.874541345905492E-01,  2.717789345238148E+03,  8.147727481351548E+08,  2.260793574839203E+01,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000, -7.373555868654338E+08, -3.465471959704179E+08,  1.791620438158019E+07,  2.920690313347107E+01, -1.178013660331608E+01,  3.627912684203594E-01,  2.718310414079372E+03,  8.149289606438527E+08, -2.140922815674326E+01,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000, -7.368610042600106E+08, -3.470732080739117E+08,  1.793408864632623E+07, -1.852452781398805E+01, -8.788432155649192E+00, -4.251584256981356E-01,  2.717566116980582E+03,  8.147058259871242E+08,  2.048912153234980E+01,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000, -7.364672976134326E+08, -3.484759928511213E+08,  1.790270903899236E+07,  2.845584898620440E+01, -1.687319708344849E+01,  9.047809222786185E-02,  2.718373640798096E+03,  8.149479155372704E+08, -1.849845616825746E+01,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000, -7.358741805530721E+08, -3.490176038888987E+08,  1.792151607729483E+07, -1.747588948149406E+01, -3.534561822177366E+00, -1.432205567590834E-01,  2.717360770955527E+03,  8.146442647975324E+08,  1.729725971077154E+01,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000, -7.355710246814238E+08, -3.503923769548749E+08,  1.788959957386459E+07,  2.665097516596519E+01, -2.164181006022320E+01, -1.854992037675594E-01,  2.718413512994680E+03,  8.149598689210900E+08, -1.475395146189901E+01,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000, -7.348850505599928E+08, -3.509700088425063E+08,  1.790825773675142E+07, -1.525412374053773E+01,  1.397254384953620E+00,  1.455989184575070E-01,  2.717179399119681E+03,  8.145898908890523E+08,  1.316274686852130E+01,
