*******************************************************************************
 Revised: Sep 29, 2017            Thelxinoe / (Jupiter)                     542

 Recently discovered irregular Jovian satellite.
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sun Nov 12 11:28:33 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Thelxinoe (542)                 {source: jup341}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000, -7.472327370122896E+08, -3.600924103739867E+08,  1.602060751230110E+07,  3.223849236782823E+00, -1.005298325898496E+01,  1.321684306420551E+00,  2.767335801841622E+03,  8.296264021455009E+08,  1.485260674687696E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000, -7.469528396698452E+08, -3.609594418115491E+08,  1.613493517714077E+07,  3.255313776001482E+00, -1.001721104177977E+01,  1.324753165393412E+00,  2.767759209321022E+03,  8.297533365144856E+08,  1.452981013203707E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000, -7.466702088336891E+08, -3.618233883733312E+08,  1.624951857477356E+07,  3.287124085385821E+00, -9.981575295943255E+00,  1.327603817804528E+00,  2.768173267575492E+03,  8.298774680563483E+08,  1.420381605542955E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000, -7.463848147496935E+08, -3.626842621511780E+08,  1.636433879476869E+07,  3.319277386126979E+00, -9.946082901339523E+00,  1.330234955800095E+00,  2.768577885465167E+03,  8.299987694480449E+08,  1.387469426826642E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000, -7.460966279043636E+08, -3.635420758220649E+08,  1.647937681792226E+07,  3.351770853396998E+00, -9.910740628936779E+00,  1.332645359191904E+00,  2.768972973851628E+03,  8.301172139665492E+08,  1.354251467232195E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000, -7.458056190360283E+08, -3.643968426534435E+08,  1.659461352230120E+07,  3.384601474902371E+00, -9.875555352550263E+00,  1.334833871712794E+00,  2.769358445645190E+03,  8.302327755030310E+08,  1.320734950860008E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000, -7.455117591508154E+08, -3.652485765045866E+08,  1.671002968939660E+07,  3.417766074877603E+00, -9.840533879424029E+00,  1.336799416277378E+00,  2.769734215860663E+03,  8.303454285795707E+08,  1.286927239931407E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000, -7.452150195345228E+08, -3.660972918195682E+08,  1.682560601124559E+07,  3.451261356288488E+00, -9.805682954606661E+00,  1.338540998512916E+00,  2.770100201648439E+03,  8.304551483584810E+08,  1.252835798062018E+00,
