*******************************************************************************
 Revised: Sep 29, 2017              Themisto / (Jupiter)                    518

 Recently discovered Jovian irregular satellite.
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Nov 10 01:27:46 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Themisto (518)                  {source: jup341}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000, -7.386217227889258E+08, -3.403933239550604E+08,  1.390301986435956E+07,  2.030340603990570E-01, -1.173332630721819E+01, -7.274440932511732E-01,  2.713217318374005E+03,  8.134020889635113E+08,  4.713372337773619E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000, -7.386022465160590E+08, -3.414169144542212E+08,  1.385049885479197E+07,  2.520529274253382E-01, -1.195956070503211E+01, -4.886883473135839E-01,  2.714585972684667E+03,  8.138124012034572E+08,  4.780291959860795E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000, -7.385774547758740E+08, -3.424596815308801E+08,  1.381848309498946E+07,  3.258285086535011E-01, -1.217696619977097E+01, -2.531015047500036E-01,  2.715970222266154E+03,  8.142273887879765E+08,  4.821715593662926E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000, -7.385452768658270E+08, -3.435207980373668E+08,  1.380661953064847E+07,  4.227387298363521E-01, -1.238409656841789E+01, -2.248595744449400E-02,  2.717362837171716E+03,  8.146448842335625E+08,  4.838516346340326E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000, -7.385037920230899E+08, -3.445993231376400E+08,  1.381440838441794E+07,  5.409460716953651E-01, -1.257976777588081E+01,  2.015701252960254E-01,  2.718756883326040E+03,  8.150628087567328E+08,  4.831864814941609E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000, -7.384512451603719E+08, -3.456942251801886E+08,  1.384122265837808E+07,  6.784640003721236E-01, -1.276306112683805E+01,  4.177106858646837E-01,  2.720145799903001E+03,  8.154791954712969E+08,  4.803170442189517E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000, -7.383860568878926E+08, -3.468044042980945E+08,  1.388632823905697E+07,  8.332227611495684E-01, -1.293331370675477E+01,  6.248120047983647E-01,  2.721523459125835E+03,  8.158922073159965E+08,  4.754018234716486E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000, -7.383068280069126E+08, -3.479287137487083E+08,  1.394890389518321E+07,  1.003130449739972E+00, -1.309009985744203E+01,  8.219805860856031E-01,  2.722884207737143E+03,  8.163001494869007E+08,  4.686106300998159E+00,
