*******************************************************************************
 Revised: Sep 29, 2017             Thyone / (Jupiter)                       529
  
 Jovian irregular satellite.
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sun Nov 12 11:16:13 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Thyone (529)                    {source: jup341}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000, -7.517346180140014E+08, -3.478321277571063E+08,  2.775276278056641E+07,  4.664991915556910E+00, -8.359838686918170E+00, -5.612236796259067E-01,  2.764484440292518E+03,  8.287715854580481E+08, -7.415685527037921E-01,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000, -7.513296120541029E+08, -3.485537912753513E+08,  2.770330549193206E+07,  4.710190327838726E+00, -8.345419068543107E+00, -5.836213794847436E-01,  2.764265207986683E+03,  8.287058612662090E+08, -7.798258551880075E-01,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000, -7.509206895754671E+08, -3.492742307330402E+08,  2.765191303624612E+07,  4.755650888388314E+00, -8.331505053685913E+00, -6.060180412422160E-01,  2.764034949598124E+03,  8.286368315379277E+08, -8.180835782194525E-01,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000, -7.505078282370206E+08, -3.499934901043927E+08,  2.759858580690692E+07,  4.801366422887143E+00, -8.318103384580184E+00, -6.284066222036695E-01,  2.763793666766502E+03,  8.285644967647624E+08, -8.563294575711938E-01,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000, -7.500910063287896E+08, -3.507116139443839E+08,  2.754332481211485E+07,  4.847329476075257E+00, -8.305220678756987E+00, -6.507799155907970E-01,  2.763541364700972E+03,  8.284888585083787E+08, -8.945510024552511E-01,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000, -7.496702027975032E+08, -3.514286473652471E+08,  2.748613168850668E+07,  4.893532315626888E+00, -8.292863229222007E+00, -6.731306035147049E-01,  2.763278052231301E+03,  8.284099194158738E+08, -9.327355869643187E-01,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000, -7.492453972677742E+08, -3.521446360129607E+08,  2.742700870679407E+07,  4.939966982519598E+00, -8.281037111757914E+00, -6.954513238750897E-01,  2.763003741844117E+03,  8.283276832306451E+08, -9.708704544997337E-01,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000, -7.488165700625540E+08, -3.528596260494360E+08,  2.736595877743888E+07,  4.986625264345359E+00, -8.269748181144521E+00, -7.177346203444306E-01,  2.762718449724523E+03,  8.282421548048640E+08, -1.008942695198938E+00,
