            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000, -1.313835923464358E+08, -1.499850720282242E+09,  3.183436829541510E+07,  1.454104471935204E+01, -2.130953251174768E+00, -2.425970596100792E-01,  5.023244097454131E+03,  1.505930695109766E+09,  8.486009063833180E-01,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000, -1.301172859986127E+08, -1.499950564940212E+09,  3.176909549549788E+07,  1.462455503340075E+01, -1.621441717298230E-01, -1.263092095054196E+00,  5.023204473480778E+03,  1.505918816141398E+09, -1.128763677738207E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000, -1.288822444555167E+08, -1.499880327003955E+09,  3.161948292976701E+07,  1.381856741754199E+01,  1.750533080341201E+00, -2.166367364981450E+00,  5.022606314969758E+03,  1.505739492731106E+09, -2.971999838236211E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000, -1.277525360996561E+08, -1.499659372519771E+09,  3.140286393621457E+07,  1.221638670082022E+01,  3.272530442709597E+00, -2.789252766603704E+00,  5.021535846399826E+03,  1.505418574327314E+09, -4.354899009607651E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000, -1.267867818955083E+08, -1.499334390840700E+09,  3.114912144100088E+07,  1.007920009094925E+01,  4.119899256954246E+00, -3.011321432651759E+00,  5.020165975790654E+03,  1.505007897450248E+09, -5.015798266677215E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000, -1.260153116285949E+08, -1.498971531971238E+09,  3.089536058287549E+07,  7.787988943731971E+00,  4.137147287710310E+00, -2.790245695040981E+00,  5.018726535832601E+03,  1.504576364207081E+09, -4.831311777417266E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000, -1.254336603444781E+08, -1.498643128869528E+09,  3.067841963683611E+07,  5.749636824322980E+00,  3.339039469243823E+00, -2.174021849365588E+00,  5.017458209687074E+03,  1.504196129594368E+09, -3.850509910758128E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000, -1.250047375453606E+08, -1.498413213612678E+09,  3.052762015586263E+07,  4.298115752448628E+00,  1.896043447018767E+00, -1.283660693464188E+00,  5.016564767758202E+03,  1.503928282442430E+09, -2.272401238894169E+00,
2457952.500000000, A.D. 2017-Jul-18 00:00:00.0000, -1.246681749391309E+08, -1.498326366735847E+09,  3.045994757379991E+07,  3.632198921937714E+00,  7.636851644135589E-02, -2.771311971321573E-01,  5.016178368729585E+03,  1.503812442927872E+09, -3.828176690713542E-01,
2457953.500000000, A.D. 2017-Jul-19 00:00:00.0000, -1.243528656755900E+08, -1.498402275104438E+09,  3.047849085788405E+07,  3.803358098792819E+00, -1.822594693349143E+00,  6.871779366569941E-01,  5.016344822944920E+03,  1.503862344646232E+09,  1.515408448722428E+00,
2457954.500000000, A.D. 2017-Jul-20 00:00:00.0000, -1.239888469295175E+08, -1.498635654218019E+09,  3.057358189881569E+07,  4.739228851754982E+00, -3.526958865029488E+00,  1.475283627588892E+00,  5.017026661017460E+03,  1.504066754557957E+09,  3.153529905416581E+00,
2457955.500000000, A.D. 2017-Jul-21 00:00:00.0000, -1.235164763048553E+08, -1.498999688695465E+09,  3.072547961098212E+07,  6.279169879268506E+00, -4.815241093520570E+00,  1.988974949698996E+00,  5.018117274781559E+03,  1.504393712339025E+09,  4.323054608973414E+00,
2457956.500000000, A.D. 2017-Jul-22 00:00:00.0000, -1.228926405428892E+08, -1.499451130976547E+09,  3.090761416312706E+07,  8.205686225738958E+00, -5.529475744186284E+00,  2.168422268340679E+00,  5.019459798477592E+03,  1.504796190817782E+09,  4.884236825053629E+00,
2457957.500000000, A.D. 2017-Jul-23 00:00:00.0000, -1.220946428591556E+08, -1.499935965816619E+09,  3.108989240373963E+07,  1.026668501361008E+01, -5.578832197362056E+00,  1.991832504169365E+00,  5.020867198302849E+03,  1.505218118670784E+09,  4.767621110336510E+00,
2457958.500000000, A.D. 2017-Jul-24 00:00:00.0000, -1.211224718122595E+08, -1.500395363666849E+09,  3.124199155330640E+07,  1.219169924665264E+01, -4.943682595586568E+00,  1.475935833342658E+00,  5.022142792494030E+03,  1.505600532188769E+09,  3.976420534102362E+00,
2457959.500000000, A.D. 2017-Jul-25 00:00:00.0000, -1.199996699401817E+08, -1.500772150000501E+09,  3.133677984945917E+07,  1.370944357670176E+01, -3.683592014744062E+00,  6.783612172771230E-01,  5.023102005552108E+03,  1.505888097029196E+09,  2.592730009122913E+00,
2457960.500000000, A.D. 2017-Jul-26 00:00:00.0000, -1.187723319441439E+08, -1.501018070422001E+09,  3.135396166983509E+07,  1.457480550175713E+01, -1.946827815781942E+00, -3.001417342505278E-01,  5.023596189746380E+03,  1.506036249723502E+09,  7.846620306772860E-01,
2457961.500000000, A.D. 2017-Jul-27 00:00:00.0000, -1.175051621417298E+08, -1.501101650606323E+09,  3.128373732837653E+07,  1.461017575586307E+01,  2.735709805625369E-02, -1.318628461419924E+00,  5.023537623651871E+03,  1.506018692050074E+09, -1.194599039226842E+00,
2457962.500000000, A.D. 2017-Jul-28 00:00:00.0000, -1.162734499668119E+08, -1.501015458189670E+09,  3.112974943296003E+07,  1.375676295856897E+01,  1.927239943291952E+00, -2.210596760543783E+00,  5.022921498180848E+03,  1.505833982280679E+09, -3.029004932160660E+00,
2457963.500000000, A.D. 2017-Jul-29 00:00:00.0000, -1.151508004097072E+08, -1.500780432576376E+09,  3.091009660315335E+07,  1.211724997146602E+01,  3.418917323730278E+00, -2.814140550289715E+00,  5.021837140115687E+03,  1.505508899910972E+09, -4.392760886159484E+00,
2457964.500000000, A.D. 2017-Jul-30 00:00:00.0000, -1.141945845724160E+08, -1.500444586232517E+09,  3.065521988956970E+07,  9.961112104988759E+00,  4.223595927089949E+00, -3.012314604774658E+00,  5.020460001410937E+03,  1.505096044113668E+09, -5.027665774635921E+00,
2457965.500000000, A.D. 2017-Jul-31 00:00:00.0000, -1.134333292510901E+08, -1.500074780913823E+09,  3.040241236982840E+07,  7.673400483032840E+00,  4.194440126280740E+00, -2.767658989697042E+00,  5.019021098958154E+03,  1.504664672010526E+09, -4.816047629519412E+00,
2457966.500000000, A.D. 2017-Aug-01 00:00:00.0000, -1.128606584156867E+08, -1.499743258996142E+09,  3.018827582158220E+07,  5.659409341448291E+00,  3.355575580209448E+00, -2.132838954652795E+00,  5.017760572076372E+03,  1.504286775558262E+09, -3.812845625468214E+00,
2457967.500000000, A.D. 2017-Aug-02 00:00:00.0000, -1.124379224928377E+08, -1.499513235209172E+09,  3.004155549449414E+07,  4.246908865846843E+00,  1.884534206173021E+00, -1.231892250786041E+00,  5.016880200881306E+03,  1.504022846913740E+09, -2.220980592497539E+00,
2457968.500000000, A.D. 2017-Aug-03 00:00:00.0000, -1.121038339828464E+08, -1.499428020366215E+09,  2.997849077166367E+07,  3.626550209353381E+00,  5.285029299246786E-02, -2.236961713415722E-01,  5.016509417383390E+03,  1.503911688817514E+09, -3.274803102253560E-01,
2457969.500000000, A.D. 2017-Aug-04 00:00:00.0000, -1.117870581548765E+08, -1.499505900167892E+09,  3.000142542164344E+07,  3.842241463193136E+00, -1.842204717731101E+00,  7.341729972147493E-01,  5.016691297899349E+03,  1.503966215224456E+09,  1.565799940349680E+00,
2457970.500000000, A.D. 2017-Aug-05 00:00:00.0000, -1.114179844570867E+08, -1.499740303515999E+09,  3.010006280980432E+07,  4.815850525593130E+00, -3.529045134265567E+00,  1.509491618616384E+00,  5.017386097252678E+03,  1.504174510830407E+09,  3.192126059666690E+00,
2457971.500000000, A.D. 2017-Aug-06 00:00:00.0000, -1.109377365676610E+08, -1.500103376228238E+09,  3.025420220314234E+07,  6.382883333976022E+00, -4.789466070746436E+00,  2.006121988413772E+00,  5.018485544477094E+03,  1.504504116816256E+09,  4.345142788526254E+00,
