*******************************************************************************
 Revised: Jan 08, 2014          Trinculo  / (Uranus)                        721

           http://ssd.jpl.nasa.gov/sat_props.html  (physical properties)
           http://ssd.jpl.nasa.gov/sat_elem.html   (mean elements)

*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sun Nov 12 09:41:31 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Trinculo (721)                  {source: ura112}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000,  2.704175505134261E+09,  1.269578075254133E+09, -3.045761554779923E+07, -2.683217692363103E+00,  4.905861252410962E+00, -1.768480843008557E-01,  9.965319495559153E+03,  2.987527626328999E+09, -3.421328366510906E-01,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000,  2.703943174954385E+09,  1.270001825356933E+09, -3.047287936408949E+07, -2.694796657165714E+00,  4.903190842372956E+00, -1.764758847196857E-01,  9.965219347529950E+03,  2.987497602705161E+09, -3.528498164637264E-01,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000,  2.703709844144014E+09,  1.270425350418441E+09, -3.048810970090240E+07, -2.706380063249803E+00,  4.900651915120825E+00, -1.760731376210189E-01,  9.965116118438955E+03,  2.987466655402233E+09, -3.635139670457757E-01,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000,  2.703475512415541E+09,  1.270848661785661E+09, -3.050330392973757E+07, -2.717965689292403E+00,  4.898244159846400E+00, -1.756400945207084E-01,  9.965009823794937E+03,  2.987434789069631E+09, -3.741233280978396E-01,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000,  2.703240179672335E+09,  1.271271770776837E+09, -3.051845944418621E+07, -2.729551335837637E+00,  4.895967221658887E+00, -1.751770152626178E-01,  9.964900479665959E+03,  2.987402008524437E+09, -3.846759786784491E-01,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000,  2.703003846006854E+09,  1.271694688677648E+09, -3.053357366064900E+07, -2.741134825296720E+00,  4.893820701584874E+00, -1.746841680186189E-01,  9.964788102668024E+03,  2.987368318748003E+09, -3.951700372310846E-01,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000,  2.702766511698754E+09,  1.272117426737395E+09, -3.054864401905698E+07, -2.752714001947958E+00,  4.891804156568323E+00, -1.741618292885947E-01,  9.964672709953718E+03,  2.987333724882546E+09, -4.056036616113940E-01,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000,  2.702528177213002E+09,  1.272539996165197E+09, -3.056366798359030E+07, -2.764286731936746E+00,  4.889917099470576E+00, -1.736102839004374E-01,  9.964554319200843E+03,  2.987298232227737E+09, -4.159750491146407E-01,
