*******************************************************************************
 Revised: Mar 27, 2009             Triton / (Neptune)                       801

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)             = 1352.6 +- 2.4   Density (g cm^-3)   = 2.054 +-0.032
  Mass (10^20 kg )        =  214.7 +- 0.7   Geometric Albedo    =  0.7  
                                            V(1,0)              = -1.24

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 354.76(10^3)    Orbital period      = 5.876854 d (R)
  Eccentricity, e         =                 Rotational period   = Synchronous
  Inclination, i  (deg)   = 156.834

 Fit to all reported measurements through 2008, as described in AJ (2009).
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Wed Nov  1 05:24:50 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Triton (801)                    {source: nep081xl}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000,  4.266674586946844E+09, -1.364281515414608E+09, -7.001923303227842E+07,  3.269978128619625E+00,  8.758250233780124E+00,  1.841284447829992E+00,  1.494377524806886E+04,  4.480031113418123E+09,  4.183650308781253E-01,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000,  4.267074967056911E+09, -1.363582212842343E+09, -7.000631536969012E+07,  5.412397792279343E+00,  6.869054282653173E+00, -1.599392129395885E+00,  1.494433638548373E+04,  4.480199338183001E+09,  3.089272016128278E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000,  4.267491902007644E+09, -1.363146135631643E+09, -7.025037821400732E+07,  3.615876512381737E+00,  3.256878777712676E+00, -3.529584639823184E+00,  1.494523110702021E+04,  4.480467568951651E+09,  2.508460668024572E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000,  4.267637681040805E+09, -1.362958711252732E+09, -7.051098793736303E+07, -2.548385895358301E-01,  1.672251710654522E+00, -1.945229168144054E+00,  1.494551772661325E+04,  4.480553495343957E+09, -7.208057613140774E-01,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000,  4.267506076865873E+09, -1.362747189847311E+09, -7.053053352835131E+07, -2.181564365797497E+00,  3.760524765033902E+00,  1.508645524182920E+00,  1.494488601162146E+04,  4.480364111953815E+09, -3.245470447133094E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000,  4.267378797036359E+09, -1.362263826211897E+09, -7.030168934197503E+07, -1.645559588883501E-01,  7.353820608519757E+00,  3.246118253641081E+00,  1.494397928519889E+04,  4.480092282210857E+09, -2.443760823818597E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000,  4.267533011090115E+09, -1.361543088853705E+09, -7.007501949189329E+07,  3.701545097888046E+00,  8.721642392275049E+00,  1.463179747073183E+00,  1.494372659663110E+04,  4.480016528084013E+09,  8.524615035198194E-01,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000,  4.267953580333885E+09, -1.360865887427382E+09, -7.009883609217900E+07,  5.402149691019216E+00,  6.443951365380849E+00, -1.989020215088745E+00,  1.494437787970320E+04,  4.480211777837050E+09,  3.219981384653058E+00,
