*******************************************************************************
 Revised: Jun 17, 2016             Umbriel / (Uranus)                       702

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)           = 584.7  +- 2.8     Density (g cm^-3)   =  1.40 +- 0.16
  Mass (10^20 kg )      =  11.72 +- 1.35    Geometric Albedo    =  0.18 
                                            V(1,0)              = +2.10

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 266.0 (10^3)    Orbital period      = 4.144 d
  Eccentricity, e         =   0.0050        Rotational period   = Synchronous
  Inclination, i  (deg)   =   0.36
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Nov 11 07:05:36 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Umbriel (702)                   {source: ura111}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000,  2.697255601679835E+09,  1.268192027485102E+09, -3.039369122835940E+07, -5.563129511437809E+00,  6.931125499473623E+00,  3.780019492628583E+00,  9.942461102266643E+03,  2.980674852417906E+09, -2.123704595899182E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000,  2.697054816200929E+09,  1.268735182026531E+09, -3.002785979997224E+07,  6.691560053978880E-01,  5.463219184159223E+00,  3.008505737485193E+00,  9.942613711415701E+03,  2.980720603489815E+09,  2.900570356912409E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000,  2.697156036996037E+09,  1.269158910762380E+09, -3.004824798779088E+07,  2.692367369024051E-02,  4.723184695774190E+00, -3.347682245711964E+00,  9.943521578565305E+03,  2.980992775214133E+09,  2.069002424439118E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000,  2.696885461083415E+09,  1.269617235035868E+09, -3.040464763882536E+07, -6.212188814847514E+00,  6.098064888828159E+00, -3.247645340806060E+00,  9.943368071741839E+03,  2.980946755026206E+09, -2.989858804345709E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000,  2.696273463306183E+09,  1.270197873656857E+09, -3.041512622461373E+07, -6.314850811744554E+00,  6.996519666048977E+00,  3.090050077534825E+00,  9.942346804129969E+03,  2.980640586698568E+09, -2.762354027359896E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000,  2.695994058024572E+09,  1.270758026867220E+09, -3.004845117692137E+07, -3.174134552144192E-02,  5.711155299845357E+00,  3.718090267034257E+00,  9.942287785923625E+03,  2.980622893485421E+09,  2.368699214722852E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000,  2.696094325949807E+09,  1.271192648126431E+09, -2.998959787625432E+07,  7.025255316778223E-01,  4.676952717122018E+00, -2.592633443616374E+00,  9.943206479040311E+03,  2.980898310753020E+09,  2.655956097290177E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000,  2.695900876519354E+09,  1.271634868777166E+09, -3.033869490076029E+07, -5.454725745024010E+00,  5.844360300890419E+00, -3.862992914648250E+00,  9.943263812714018E+03,  2.980915498955987E+09, -2.400708578266881E+00,
