            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000,  2.697063613407441E+09,  1.267395059803159E+09, -3.021503405602252E+07, -2.939360544018378E+00,  5.835072082085484E+00,  5.966644784431985E-02,  9.940744688084307E+03,  2.980160284391238E+09, -1.792197775663315E-01,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000,  2.696809595151844E+09,  1.267899187206474E+09, -3.020988703988314E+07, -2.940754642600869E+00,  5.834566873909943E+00,  5.955038439760019E-02,  9.940693009581364E+03,  2.980144791565814E+09, -1.794583108580968E-01,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000,  2.696555458139971E+09,  1.268403273471581E+09, -3.020472896944588E+07, -2.941946865017457E+00,  5.834075081205954E+00,  5.984849571172557E-02,  9.940641270311451E+03,  2.980129280522912E+09, -1.795125657227594E-01,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000,  2.696301232652209E+09,  1.268907312449274E+09, -3.019955639208752E+07, -2.942941275048288E+00,  5.833494854625641E+00,  5.982934996450329E-02,  9.940589552840454E+03,  2.980113776015161E+09, -1.794222534379867E-01,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000,  2.696046908515495E+09,  1.269411303685648E+09, -3.019438866333401E+07, -2.944193249084811E+00,  5.832978055449485E+00,  5.986240642215668E-02,  9.940537826474427E+03,  2.980098268840745E+09, -1.795384883409736E-01,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000,  2.695792485783056E+09,  1.269915249304118E+09, -3.018920988909513E+07, -2.945197490329829E+00,  5.832416025966397E+00,  5.995771506535652E-02,  9.940486093858404E+03,  2.980082759792629E+09, -1.794504821066142E-01,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000,  2.695537972939504E+09,  1.270419145638371E+09, -3.018403278719211E+07, -2.946330516591814E+00,  5.831860899524594E+00,  5.990644338387385E-02,  9.940434375815150E+03,  2.980067255113319E+09, -1.794745618513785E-01,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000,  2.695283363401992E+09,  1.270922994729123E+09, -3.017885305896318E+07, -2.947348088411478E+00,  5.831296804505774E+00,  5.997934177146247E-02,  9.940382655236599E+03,  2.980051749673947E+09, -1.793992935571224E-01,
2457952.500000000, A.D. 2017-Jul-18 00:00:00.0000,  2.695028671707045E+09,  1.271426791721504E+09, -3.017368250445789E+07, -2.948390678765895E+00,  5.830683158149644E+00,  5.965057070213620E-02,  9.940330969466077E+03,  2.980036254669758E+09, -1.793637610619883E-01,
2457953.500000000, A.D. 2017-Jul-19 00:00:00.0000,  2.694773867063059E+09,  1.271930541097258E+09, -3.016853708277392E+07, -2.949866244571604E+00,  5.830195776322088E+00,  5.954984938214647E-02,  9.940279232527355E+03,  2.980020744325729E+09, -1.796681890827596E-01,
2457954.500000000, A.D. 2017-Jul-20 00:00:00.0000,  2.694518944190794E+09,  1.272434248470738E+09, -3.016338466929114E+07, -2.951070176474345E+00,  5.829681095915358E+00,  5.968922861746462E-02,  9.940227435424487E+03,  2.980005215944943E+09, -1.797409743912206E-01,
2457955.500000000, A.D. 2017-Jul-21 00:00:00.0000,  2.694263919028703E+09,  1.272937909688634E+09, -3.015823014749193E+07, -2.952344943969846E+00,  5.829158140261357E+00,  5.965346227532731E-02,  9.940175620501223E+03,  2.979989682221736E+09, -1.798795233414184E-01,
2457956.500000000, A.D. 2017-Jul-22 00:00:00.0000,  2.694008781622877E+09,  1.273441527739113E+09, -3.015306745257282E+07, -2.953555418426073E+00,  5.828654775345038E+00,  5.985625006122186E-02,  9.940123761805105E+03,  2.979974135375759E+09, -1.799539249854403E-01,
