 Automated mail xmit by MAIL_REQUEST, PID= 432 Mon Jul 31 11:18:14 2017
++++++++++++++++++++++++++++++++ (part 1 of 1)  +++++++++++++++++++++++++++++++

*******************************************************************************
 Revised: Jun 17, 2016                Uranus                                799
 
 PHYSICAL DATA (updated 2009-May-26):
  Mass (10^24 kg)       =    86.8103      Density (g/cm^3)       =  1.318
  Equat. radius (1 bar) = 25559+-4 km     Polar radius (km)      = 24973+-20
  Volumetric mean radius= 25362+-12 km    Flattening             =  0.02293

  Rotation period       = 17.24+-0.01 hr  Rot. rate(10^-4 rad/s) =  1.012   
  m = w^2a^3/GM         =  0.02954        Hydrostatic flat., fh  =  0.01987
  Inferred rot. period  = 17.14+-0.9 hr   ks = 3*J2/m            =  0.357
  Mom. of inert. I/MRo^2=  0.225          I/MRo^2 (upper bound)  =  0.232 
  Rocky core mass (Mc/M)=  0.0012         Y factor (He/H ratio)  =  0.262+-.048

  GM (km^3/s^2)         = 5,793,966       GM 1-sigma( km^3/s^2)  = +-23
  Equ. grav, ge (m/s^2) =  8.87           Pol. grav, gp (m/s^2)  =  9.19+-0.02

  Geometric albedo      =  0.51           Visual magnitude V(1,0)= -7.19
  Vis. mag. (opposition)= +5.52           Obliquity to orbit     = 97.86 deg
  Sidereal orbit period = 84.016846 yr    Sidereal orbit period  = 30687.153 d
  Mean daily motion     = 0.01176904 dg/d Mean orbit velocity    =  6.8352 km/s

  Atmos. temp. (1 bar)  =  76+-2 K        Heat flow/mass (x10^7) = 
  Planetary Solar Const =   3.71 W/m^2    Dipole tilt/offset     = 58.6dg/0.3Rp 
  Escape velocity (km/s)=  21.3           Mag.dip.mom(gauss-Rp^3)= 0.23
  Aroche(ice)/Rp        =  2.20           Hill's sphere rad., Rp = 2700
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / MAIL_REQUEST Mon Jul 31 11:18:13 2017 Pasadena, USA  / Horizons    
*******************************************************************************
Target body name: Uranus (799)                    {source: ura111}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000,  2.697467918761023E+09,  1.268167480894660E+09, -3.023614679569864E+07, -2.947127969236542E+00,  5.845409281187925E+00,  5.984037375564322E-02,  9.943061800601241E+03,  2.980854937248152E+09, -1.806980011576718E-01,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000,  2.697213228851651E+09,  1.268672500997901E+09, -3.023098473944998E+07, -2.948534748797546E+00,  5.844894028186265E+00,  5.972460848757422E-02,  9.943009694457798E+03,  2.980839316219332E+09, -1.809477405144446E-01,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000,  2.696958419092856E+09,  1.269177479095952E+09, -3.022581160331261E+07, -2.949739594733591E+00,  5.844392211839976E+00,  6.002301404971178E-02,  9.942957524326941E+03,  2.980823676007569E+09, -1.810131570460567E-01,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000,  2.696703519769944E+09,  1.269682409041584E+09, -3.022062393499106E+07, -2.950746571956040E+00,  5.843801986221406E+00,  6.000415888948174E-02,  9.942905372780760E+03,  2.980808041367351E+09, -1.809339743958467E-01,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000,  2.696448520714657E+09,  1.270187290383158E+09, -3.021544109031600E+07, -2.952011058257435E+00,  5.843275215755277E+00,  6.003750254764917E-02,  9.942853209145160E+03,  2.980792403102815E+09, -1.810612496757401E-01,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000,  2.696193421984901E+09,  1.270692125246611E+09, -3.021024717547774E+07, -2.953027758459108E+00,  5.842703245602501E+00,  6.013309527991240E-02,  9.942801036083256E+03,  2.980776762012346E+09, -1.809842506501490E-01,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000,  2.695938232069817E+09,  1.271196909968392E+09, -3.020505490855479E+07, -2.954173192160463E+00,  5.842138211719196E+00,  6.008210484815546E-02,  9.942748874430978E+03,  2.980761124342397E+09, -1.810192670002760E-01,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000,  2.695682944390928E+09,  1.271701646592189E+09, -3.019985999111885E+07, -2.955203121827306E+00,  5.841564244842067E+00,  6.015528191280017E-02,  9.942696707099876E+03,  2.980745484969978E+09, -1.809548878601784E-01,
2457952.500000000, A.D. 2017-Jul-18 00:00:00.0000,  2.695427573488954E+09,  1.272206330266301E+09, -3.019467422343069E+07, -2.956258022464250E+00,  5.840940764326517E+00,  5.982678720734391E-02,  9.942644571443789E+03,  2.980729855093490E+09, -1.809301914560899E-01,
2457953.500000000, A.D. 2017-Jul-19 00:00:00.0000,  2.695172088576313E+09,  1.272710965475811E+09, -3.018951356477690E+07, -2.957745853090447E+00,  5.840443587928207E+00,  5.972634018898226E-02,  9.942592381513412E+03,  2.980714208945979E+09, -1.812453465979663E-01,
