            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000,  1.080189858891550E+08, -1.079036283262970E+07, -6.381391248320919E+06,  3.318883539716297E+00,  3.468828110050131E+01,  2.842966009666181E-01,  3.627309068737927E+02,  1.087439901642634E+08, -1.619483769634587E-01,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000,  1.082640882725021E+08, -7.789523346138749E+06, -6.354372856883321E+06,  2.354355442731752E+00,  3.477114072237831E+01,  3.410926735712358E-01,  3.626835448935265E+02,  1.087297913997836E+08, -1.667058930708509E-01,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000,  1.084257552027158E+08, -4.782680693759782E+06, -6.322457356510802E+06,  1.387629281142336E+00,  3.482723093071016E+01,  3.976483962012374E-01,  3.626348299895864E+02,  1.087151870389902E+08, -1.713365701274867E-01,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000,  1.085038284200654E+08, -1.772150668969285E+06, -6.285667380038320E+06,  4.194381883785268E-01,  3.485648750347509E+01,  4.539205811382860E-01,  3.625847992403711E+02,  1.087001881977074E+08, -1.758367904366537E-01,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000,  1.084982131101693E+08,  1.239746238042432E+06, -6.244029285953434E+06, -5.494824108218914E-01,  3.485886595990335E+01,  5.098661792389034E-01,  3.625334907538369E+02,  1.086848063004130E+08, -1.802030274073191E-01,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000,  1.084088780800741E+08,  4.250686550367082E+06, -6.197573145100512E+06, -1.518395307949464E+00,  3.483434165926077E+01,  5.654423105790638E-01,  3.624809436408385E+02,  1.086690530722464E+08, -1.844318483272545E-01,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000,  1.082358558902707E+08,  7.258345522400107E+06, -6.146332724731974E+06, -2.486562023145413E+00,  3.478290988780630E+01,  6.206062952180016E-01,  3.624271979876806E+02,  1.086529405307794E+08, -1.885199170919081E-01,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000,  1.079792429422323E+08,  1.026039886485544E+07, -6.090345469896929E+06, -3.453243322315247E+00,  3.470458593366786E+01,  6.753156840666037E-01,  3.623722948278874E+02,  1.086364809775530E+08, -1.924639968903369E-01,
2457952.500000000, A.D. 2017-Jul-18 00:00:00.0000,  1.076391995210791E+08,  1.325452447571825E+07, -6.029652482158811E+06, -4.417699738726697E+00,  3.459940514937522E+01,  7.295282898448523E-01,  3.623162761132026E+02,  1.086196869893837E+08, -1.962609528518311E-01,
2457953.500000000, A.D. 2017-Jul-19 00:00:00.0000,  1.072159497929916E+08,  1.623840417605858E+07, -5.964298495635062E+06, -5.379192098836914E+00,  3.446742300182160E+01,  7.832022181107554E-01,  3.622591846838386E+02,  1.086025714094439E+08, -1.999077546184711E-01,
2457954.500000000, A.D. 2017-Jul-20 00:00:00.0000,  1.067097817570174E+08,  1.920972544960963E+07, -5.894331850353393E+06, -6.336982052166064E+00,  3.430871510935862E+01,  8.362958983460587E-01,  3.622010642379882E+02,  1.085851473381224E+08, -2.034014788992327E-01,
2457955.500000000, A.D. 2017-Jul-21 00:00:00.0000,  1.061210471509319E+08,  2.216618318498297E+07, -5.819804462920513E+06, -7.290332604909417E+00,  3.412337726576378E+01,  8.887681150775570E-01,  3.621419593006070E+02,  1.085674281236649E+08, -2.067393119548546E-01,
2457956.500000000, A.D. 2017-Jul-22 00:00:00.0000,  1.054501613108428E+08,  2.510548141938354E+07, -5.740771794501018E+06, -8.238508657051188E+00,  3.391152545089305E+01,  9.405780390176695E-01,  3.620819151914898E+02,  1.085494273526043E+08, -2.099185520286202E-01,
2457957.500000000, A.D. 2017-Jul-23 00:00:00.0000,  1.046976029842468E+08,  2.802533508265558E+07, -5.657292816105710E+06, -9.180777542685558E+00,  3.367329582766998E+01,  9.916852582027147E-01,  3.620209779926528E+02,  1.085311588399813E+08, -2.129366117253386E-01,
2457958.500000000, A.D. 2017-Jul-24 00:00:00.0000,  1.038639140962748E+08,  3.092347174047158E+07, -5.569429971190357E+06, -1.011640957324740E+01,  3.340884472521482E+01,  1.042049809108944E+00,  3.619591945150393E+02,  1.085126366193637E+08, -2.157910203304572E-01,
2457959.500000000, A.D. 2017-Jul-25 00:00:00.0000,  1.029496994688874E+08,  3.379763333545557E+07, -5.477249135567763E+06, -1.104467858333786E+01,  3.311834860785687E+01,  1.091632207724583E+00,  3.618966122645656E+02,  1.084938749326671E+08, -2.184794260669209E-01,
2457960.500000000, A.D. 2017-Jul-26 00:00:00.0000,  1.019556264928111E+08,  3.664557792501017E+07, -5.380819574637935E+06, -1.196486247881379E+01,  3.280200402978115E+01,  1.140393480555584E+00,  3.618332794075259E+02,  1.084748882197830E+08, -2.209995982880146E-01,
2457961.500000000, A.D. 2017-Jul-27 00:00:00.0000,  1.008824247520340E+08,  3.946508141459601E+07, -5.280213897943055E+06, -1.287624378679378E+01,  3.246002757506940E+01,  1.188295195541540E+00,  3.617692447353739E+02,  1.084556911080213E+08, -2.233494296039635E-01,
2457962.500000000, A.D. 2017-Jul-28 00:00:00.0000,  9.973088560071121E+07,  4.225393928519110E+07, -5.175508011056047E+06, -1.377811020721719E+01,  3.209265578290270E+01,  1.235299492857759E+00,  3.617045576289029E+02,  1.084362984013714E+08, -2.255269379399124E-01,
2457963.500000000, A.D. 2017-Jul-29 00:00:00.0000,  9.850186169236219E+07,  4.500996831363876E+07, -5.066781064813670E+06, -1.466975516557667E+01,  3.170014505770238E+01,  1.281369115578398E+00,  3.616392680218414E+02,  1.084167250695886E+08, -2.275302685220298E-01,
2457964.500000000, A.D. 2017-Jul-30 00:00:00.0000,  9.719626646127543E+07,  4.773100828457332E+07, -4.954115401907256E+06, -1.555047836642801E+01,  3.128277156399315E+01,  1.326467440175009E+00,  3.615734263638885E+02,  1.083969862371121E+08, -2.293576957885146E-01,
2457965.500000000, A.D. 2017-Jul-31 00:00:00.0000,  9.581507355607116E+07,  5.041492369259424E+07, -4.837596500846397E+06, -1.641958634726520E+01,  3.084083110578128E+01,  1.370558506823695E+00,  3.615070835832083E+02,  1.083770971718214E+08, -2.310076252222382E-01,
2457966.500000000, A.D. 2017-Aug-01 00:00:00.0000,  9.435931622540875E+07,  5.305960543334269E+07, -4.717312917313429E+06, -1.727639303233249E+01,  3.037463899024868E+01,  1.413607049493509E+00,  3.614402910484092E+02,  1.083570732736380E+08, -2.324785951024543E-01,
2457967.500000000, A.D. 2017-Aug-02 00:00:00.0000,  9.283008665586334E+07,  5.566297248211657E+07, -4.593356222928645E+06, -1.812022028592866E+01,  2.988452987557200E+01,  1.455578525787828E+00,  3.613731005300289E+02,  1.083369300629784E+08, -2.337692781750575E-01,
2457968.500000000, A.D. 2017-Aug-03 00:00:00.0000,  9.122853526203576E+07,  5.822297355864482E+07, -4.465820941448983E+06, -1.895039846474282E+01,  2.937085760268424E+01,  1.496439146509585E+00,  3.613055641615504E+02,  1.083166831690679E+08, -2.348784832433280E-01,
2457969.500000000, A.D. 2017-Aug-04 00:00:00.0000,  8.955586992899936E+07,  6.073758877662792E+07, -4.334804482425287E+06, -1.976626696874528E+01,  2.883399501087400E+01,  1.536155904921458E+00,  3.612377343999745E+02,  1.082963483181195E+08, -2.358051566463406E-01,
2457970.500000000, A.D. 2017-Aug-05 00:00:00.0000,  8.781335520722875E+07,  6.320483127664100E+07, -4.200407072345648E+06, -2.056717479015811E+01,  2.827433373698638E+01,  1.574696605670109E+00,  3.611696639859751E+02,  1.082759413213896E+08, -2.365483836790954E-01,
2457971.500000000, A.D. 2017-Aug-06 00:00:00.0000,  8.600231146020229E+07,  6.562274884097406E+07, -4.062731683295533E+06, -2.135248105994556E+01,  2.769228399814674E+01,  1.612029893341729E+00,  3.611014059036648E+02,  1.082554780631154E+08, -2.371073898850048E-01,
2457972.500000000, A.D. 2017-Aug-07 00:00:00.0000,  8.412411396490799E+07,  6.798942548898691E+07, -3.921883959167499E+06, -2.212155559140318E+01,  2.708827435792156E+01,  1.648125280622402E+00,  3.610330133399958E+02,  1.082349744883441E+08, -2.374815422776842E-01,
2457973.500000000, A.D. 2017-Aug-08 00:00:00.0000,  8.218019196553281E+07,  7.030298305153745E+07, -3.777972139456294E+06, -2.287377942020819E+01,  2.646275147574766E+01,  1.682953176025084E+00,  3.609645396438270E+02,  1.082144465906613E+08, -2.376703504454188E-01,
