 Automated mail xmit by MAIL_REQUEST, PID= 143139 Mon Jul 31 11:13:05 2017
++++++++++++++++++++++++++++++++ (part 1 of 1)  +++++++++++++++++++++++++++++++

*******************************************************************************
JPL/HORIZONS                       4 Vesta                 2017-Jul-31 11:13:05
Rec #:     4 (+COV)   Soln.date: 2017-Apr-04_16:32:33   # obs: 9325 (1950-2017)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs): 
 
  EPOCH=  2448953.5 ! 1992-Nov-27.00 (TDB)         Residual RMS= .50575        
   EC= .08940671368300425  QR= 2.149926234697652   TP= 2448965.6989691556      
   OM= 103.9831114166946   W=  150.0028930287553   IN= 7.135497649691238       
   A= 2.361017006168899    MA= 356.6858013642077   ADIST= 2.572107777640145    
   PER= 3.62791            N= .271678574           ANGMOM= .026326204          
   DAN= 2.53872            DDN= 2.17382            L= 254.1785129              
   B= 3.560513             MOID= 1.13638997        TP= 1992-Dec-09.1989691556  
 
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= 17.8                RAD= 262.7              ROTPER= 5.342128            
   H= 3.2                  G= .320                 B-V= .782                   
                           ALBEDO= .4228           STYP= V                     
 
ASTEROID comments: 
1: soln ref.= JPL#34, OCC=0           radar(2977 delay, 0 Dop
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / MAIL_REQUEST Mon Jul 31 11:13:05 2017 Pasadena, USA  / Horizons    
*******************************************************************************
Target body name: 4 Vesta                         {source: JPL#34}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Aug-13 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2448953.5 ! 1992-Nov-27.00 (TDB)         Residual RMS= .50575        
   EC= .08940671368300425  QR= 2.149926234697652   TP= 2448965.6989691556      
   OM= 103.9831114166946   W=  150.0028930287553   IN= 7.135497649691238       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-7.262352986344842E-01  Y=-1.911310137901048E+00  Z=-6.659499008373883E-01
  VX= 1.145208333797262E-02 VY=-3.294506484840738E-03 VZ=-2.808133774681220E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= 17.8                RAD= 262.7              ROTPER= 5.342128            
   H= 3.2                  G= .320                 B-V= .782                   
                           ALBEDO= .4228           STYP= V                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000, -3.322256387931250E+08,  1.097531867874971E+08,  3.717199452486310E+07, -4.261507387433214E+00, -1.894019979663302E+01,  1.085423106708089E+00,  1.173659355440071E+03,  3.518542230220744E+08, -1.769533771495996E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000, -3.325900529786282E+08,  1.081155204335318E+08,  3.726535207979973E+07, -4.173971600890297E+00, -1.896867780469402E+01,  1.075625227206316E+00,  1.173149311986358E+03,  3.517013158413992E+08, -1.769977694374185E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000, -3.329468951350398E+08,  1.064754106533446E+08,  3.735786149844370E+07, -4.086229192610751E+00, -1.899676030942305E+01,  1.065790344961924E+00,  1.172639146310858E+03,  3.515483720195536E+08, -1.770381927443494E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000, -3.332961474768899E+08,  1.048328916908004E+08,  3.744951958969454E+07, -3.998281707652509E+00, -1.902444563588336E+01,  1.055918597684502E+00,  1.172128869868799E+03,  3.513953949907295E+08, -1.770746355237482E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000, -3.336377923527928E+08,  1.031879979343576E+08,  3.754032317442545E+07, -3.910130704771349E+00, -1.905173211196705E+01,  1.046010124835815E+00,  1.171618494148610E+03,  3.512423881990705E+08, -1.771070862842959E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000, -3.339718122466331E+08,  1.015407639168184E+08,  3.763026908563524E+07, -3.821777756469696E+00, -1.907861806850376E+01,  1.036065067638964E+00,  1.171108030671757E+03,  3.510893550986254E+08, -1.771355335911133E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000, -3.342981897787548E+08,  9.989122431507047E+07,  3.771935416860075E+07, -3.733224449044859E+00, -1.910510183937043E+01,  1.026083569087503E+00,  1.170597490992576E+03,  3.509362991532971E+08, -1.771599660668778E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000, -3.346169077071559E+08,  9.823941394981898E+07,  3.780757528103030E+07, -3.644472382636607E+00, -1.913118176160195E+01,  1.016065773954540E+00,  1.170086886698109E+03,  3.507832238367935E+08, -1.771803723929382E+00,
2457952.500000000, A.D. 2017-Jul-18 00:00:00.0000, -3.349279489286863E+08,  9.658536778530879E+07,  3.789492929321781E+07, -3.555523171274082E+00, -1.915685617550297E+01,  1.006011828801765E+00,  1.169576229407934E+03,  3.506301326325763E+08, -1.771967413104369E+00,
2457953.500000000, A.D. 2017-Jul-19 00:00:00.0000, -3.352312964802494E+08,  9.492912092903715E+07,  3.798141308819768E+07, -3.466378442921966E+00, -1.918212342476061E+01,  9.959218819884494E-01,  1.169065530773988E+03,  3.504770290338083E+08, -1.772090616214415E+00,
2457954.500000000, A.D. 2017-Jul-20 00:00:00.0000, -3.355269335400085E+08,  9.327070863145648E+07,  3.806702356190060E+07, -3.377039839526100E+00, -1.920698185655825E+01,  9.857960836803858E-01,  1.168554802480391E+03,  3.503239165433009E+08, -1.772173221900634E+00,
