NAME,RADIUS,GM,ID,J2,COMMENT
Sun,695700000,1.32712440041938e20,10,0,Source: NASA/JPL Horizons
Mercury,2439700,2.203178e13,199,0,Source: NASA/JPL Horizons
Venus,6051800,3.24858592e14,299,2.7E-05,"Source: NASA/JPL Horizons, J2: http://onlinelibrary.wiley.com/doi/10.1002/9783527617784.app2/pdf"
Earth,6378136.3,3.98600435436096e14,399,0.001082626335439,"Source: NASA/JPL Horizons, JPL Lunar Constants and Models Document"
Mars,3389500,4.28283736206991e14,499,0.001964,"Source: NASA/JPL Horizons, J2: http://onlinelibrary.wiley.com/doi/10.1002/9783527617784.app2/pdf"
Jupiter,71492000,1.26686534911591e17,599,0.01469562,"Source: Source: NASA/JPL Horizons, https://ssd.jpl.nasa.gov/?gravity_fields_op"
Saturn,60330000,3.79312072349389e16,699,0.01629071,"Source: Source: NASA/JPL Horizons, https://ssd.jpl.nasa.gov/?gravity_fields_op"
Uranus,25559000,5.79395132227901e15,799,0.00351068,"Source: Source: NASA/JPL Horizons, https://ssd.jpl.nasa.gov/?gravity_fields_op"
Neptune,25225000,6.83509950243967e15,899,0.00340843,"Source: Source: NASA/JPL Horizons, https://ssd.jpl.nasa.gov/?gravity_fields_op"
Pluto,1151000,8.69339078038193e11,999,0,Source: NASA/JPL Horizons
Luna,1737500,4.9028000661638e12,301,0.000203354248211,"Source: Source: NASA/JPL Horizons, JPL, Lunar Constants and Models Document"
Ceres,469700,6.26284e10, NA,0,Astroid. Source: NASA/JPL Horizons
Pallas,272500,1.43e10, NA,0,Astroid. Source: NASA/JPL Horizons
Vesta,262700,1.78e10, NA,0,Astroid. Source: NASA/JPL Horizons
Hygiea,203560,7e9, NA,0,Asteroid. Source: NASA/JPL Horizons
Eros,8420,4.463e5, NA,0,Asteroid. Source: NASA/JPL Horizons
Psyche,113000,1.53e9, NA,0,Astroid. Source: Small Body Database
Kalliope,83768,4.91e8, NA,0,Astroid. Source: Small Body Database
Ida,16000,2.75e6, NA,0,Astroid. Source: Small Body Database
Mathilde,26400,6.89e6, NA,0,Astroid. Source: Small Body Database
Interamnia,153156.5,5e9, NA,0,Astroid. Source: Small Body Database
Itokawa,165,2.1e0, NA,0,Astroid. Source: Small Body Database
Bennu,0.246,5.2e0, NA,0,Astroid. Source: Small Body Database
Io,1821600,5.95992401027251e12,501,0.01469562,"Moon of Jupiter. Source: NASA/JPL Horizons, R and j2: http://lasp.colorado.edu/~espoclass/5830_2013_Spring_homework/Ch13-Shubert.pdf"
Europa,1565000,3.20273981511473e12,502,0.01629071,"Moon of Jupiter. Source: NASA/JPL Horizons, R and j2: http://lasp.colorado.edu/~espoclass/5830_2013_Spring_homework/Ch13-Shubert.pdf"
Ganymede,2631200,9.88781998008098e12,503,0.00351068,"Moon of Jupiter. Source: NASA/JPL Horizons, R and j2: http://lasp.colorado.edu/~espoclass/5830_2013_Spring_homework/Ch13-Shubert.pdf"
Callisto,2410300,7.17930486761108e12,504,0.00340843,"Moon of Jupiter. Source: NASA/JPL Horizons, R and j2: http://lasp.colorado.edu/~espoclass/5830_2013_Spring_homework/Ch13-Shubert.pdf"
Amalthea,83.45,1.48760467740427e8,505,0.03757947,"Moon of Jupiter. Source: NASA/JPL Horizons, R and j2: http://lasp.colorado.edu/~espoclass/5830_2013_Spring_homework/Ch13-Shubert.pdf"
Himalia,85000,1.38008069607897e8,506,0,Moon of Jupiter. Source: NASA/JPL Horizons
Elara,43000,5.8e7,507,0,Moon of Jupiter. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Pasiphae,30000,2e7,508,0,Moon of Jupiter. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Sinope,19000,5e6,509,0,Moon of Jupiter. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Lysithea,18000,4.2e6,510,0,Moon of Jupiter. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Carme,23000,8.8e6,511,0,Moon of Jupiter. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Ananke,14000,2e6,512,0,Moon of Jupiter. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Leda,10000,7.3e5,513,0,Moon of Jupiter. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Thebe,49300,1e8,514,0,Moon of Jupiter. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Adrastea,8200,5e5,515,0,Moon of Jupiter. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Metis,21500,8e6,516,0,Moon of Jupiter. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Callirrhoe,4300,5.8e4,517,0,Moon of Jupiter. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Themisto,4000,4.6e4,518,0,Moon of Jupiter. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Megaclite,2700,1.4e4,519,0,Moon of Jupiter. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Taygete,2500,1.1e4,520,0,Moon of Jupiter. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Chaldene,1900,5e3,521,0,Moon of Jupiter. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Harpalyke,2200,8e3,522,0,Moon of Jupiter. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Kalyke,2600,1.3e4,523,0,Moon of Jupiter. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Iocaste,2600,1.3e4,524,0,Moon of Jupiter. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Erinome,1600,3e3,525,0,Moon of Jupiter. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Isonoe,1900,5e3,526,0,Moon of Jupiter. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Praxidike,3400,2.9e4,527,0,Moon of Jupiter. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Autonoe,2000,6e3,528,0,Moon of Jupiter. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Thyone,2000,6e3,529,0,Moon of Jupiter. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Hermippe,2000,6e3,530,0,Moon of Jupiter. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
Aitne,1500,3e3,531,0,Moon of Jupiter. Source: https://ssd.jpl.nasa.gov/?sat_phys_par
